node1	node2
RAD51	MND1
ZWINT	BUB1B
IL33	IL1RL1
CDC20	BUB1B
CDC20	CCNB2
CDCA8	AURKB
MCM10	CDC6
CDC25C	CCNB1
NEK2	BUB1B
HJURP	CENPA
CDC20	UBE2C
ANGPT1	TEK
CALCRL	RAMP2
CDC20	CCNB1
GATA1	LMO2
CCNB2	CCNB1
PLK1	CCNB1
CDC20	AURKB
CDC20	NEK2
CDCA8	CDC20
CDCA8	BIRC5
TAL1	LMO2
KIF20A	MAD2L1
NCAPG	NCAPH
MAD2L1	BUB1B
GINS1	GINS2
AURKB	CCNB2
NEK2	MAD2L1
CDC20	PLK1
AURKB	BUB1B
TSTA3	GMDS
CDC20	MAD2L1
KIF20A	AURKB
KIF2C	AURKB
MAD2L1	CCNB1
UBE2C	CCNB1
KIF2C	PLK1
PLK1	CCNB2
MAD2L1	CCNB2
CDCA8	MAD2L1
CDCA8	CCNB1
AURKB	BIRC5
PLK1	MAD2L1
CDC20	KIF2C
BIRC5	MAD2L1
TTK	MAD2L1
CDC25A	CCNB1
AURKB	MAD2L1
CDCA8	PLK1
AURKB	CCNB1
BUB1B	CCNB1
CDC20	BIRC5
ZWINT	NUF2
NPNT	ITGA8
HPD	HGD
PLK1	BUB1B
CENPA	AURKB
AURKB	NCAPG
FIGF	FLT4
CDCA8	KIF2C
FOXM1	CCNB1
KIF20A	PLK1
VIP	VIPR1
CDC25C	PLK1
CDC20	TTK
AURKB	NCAPH
KIF2C	BUB1B
RAD51	EXO1
AURKB	PLK1
CDCA8	BUB1B
CX3CR1	CX3CL1
UBE2C	BUB1B
CDH5	KDR
CDCA8	CCNB2
CCNB2	BUB1B
UBE2C	MAD2L1
FOXM1	PLK1
MAD2L1	NUF2
TOP2A	TPX2
UBE2C	AURKB
HMMR	TPX2
ECT2	PLK1
KIF2C	CCNB1
KIF2C	CCNB2
CDC20	NUF2
BUB1B	NUF2
KIF20A	CDCA8
CALCRL	RAMP3
BIRC5	BUB1B
MYH3	ACTN2
BIRC5	CCNB1
AURKB	NUF2
CCNB2	NCAPG
FIGF	KDR
TPX2	PLK1
HIST1H2AC	HIST1H2BD
KIF20A	KIF4A
TTK	BUB1B
BIRC5	CCNB2
GATA1	TAL1
UBE2C	PLK1
CDCA8	NUF2
GTSE1	PLK1
CENPA	BUB1B
DSP	DSG2
GNRH1	KISS1R
FGFR4	FGF2
CDCA8	CDCA5
HIST1H4H	CENPA
AURKB	CDCA5
ITGAL	ICAM5
KIF20A	KIF2C
UBE2C	CCNB2
KIF2C	CENPA
HIST1H4E	CENPA
TENC1	DLC1
ZWINT	AURKB
NEK2	TPX2
KIF20A	BIRC5
SFTPA1	SFTPC
SH3GL2	SH3GL3
EFNA4	EPHA10
SFTPA2	SFTPC
KIF2C	BIRC5
FOXM1	MYBL2
TTK	NCAPG
PLK1	NUF2
DSP	PKP3
LCAT	APOA1
TPX2	DLGAP5
ZWINT	MAD2L1
ATP1B1	ATP1A2
PBK	TOP2A
KIF2C	MAD2L1
FOXM1	CCNB2
CCNB2	NUF2
TOP2A	UBE2C
KIF4A	KIF2C
CCNB1	MYBL2
BIRC5	CDCA5
CDC25C	CCNB2
BIRC5	PLK1
PKP3	DSG2
CDCA8	CENPA
NUSAP1	CDC20
IL18R1	IL18RAP
CDC20	CDCA5
CDC20	CENPA
GATA2	LMO2
CENPA	MAD2L1
ZWINT	CENPA
NEK2	UBE2C
PLK1	CDCA5
CENPA	CCNB1
CCNB1	NCAPG
GATA2	TAL1
CCNB2	CDCA5
CDC20	DLGAP5
NUSAP1	DLGAP5
CENPA	CCNB2
KIF2C	NUF2
CDCA5	NUF2
MAD2L1	NCAPG
BIRC5	NUF2
ITGA2B	VWF
NUSAP1	NCAPG
CCNB1	CDC6
TTK	NUF2
NUF2	CCNB1
CCNB2	NCAPH
CENPA	PLK1
ZWINT	CDC20
FOXM1	CDC25A
TTK	DLGAP5
CENPA	BIRC5
CENPA	NUF2
CDCA8	TTK
TOP2A	NCAPG
PECAM1	CDH5
FCN1	MASP1
ZWINT	KIF2C
ZWINT	CCNB2
FGFR4	KLB
TOP2A	DLGAP5
TNNT2	TNNC1
CCNB1	DLGAP5
KCNA4	KCNAB3
CDC20	FOXM1
SHC3	NTRK2
ACTN2	TNNT2
EDNRB	EDN2
ZWINT	BIRC5
TOP2A	CDC20
AURKB	TPX2
CCNB2	DLGAP5
ZWINT	CCNB1
PBK	MAD2L1
HIST1H2AC	CENPA
PBK	CCNB1
TOP2A	CCNB1
TOP2A	CCNB2
GTSE1	CCNB2
NCAPG	DLGAP5
BUB1B	CDCA5
TOP2A	KIF4A
RGS9BP	RGS9
ZWINT	CDCA8
SFTPD	SFTPC
HMMR	PLK1
TOP2A	KIF20A
NUSAP1	TOP2A
ZWINT	CDCA5
HMMR	NEK2
SKA3	BUB1B
PECAM1	KDR
CACNB4	CACNA2D2
UBE2C	CDC6
FUT2	FUT3
TTK	CCNB2
UBE2C	BIRC5
CCNB1	NCAPH
TOP2A	BUB1B
ACTN2	LDB3
CDC25A	CCNB2
THBD	PROC
CDC25A	PLK1
ATP1A2	ATP1B2
CENPA	CDCA5
CAV1	CAV2
MASP1	FCN3
CALCRL	ADM2
NUSAP1	CDCA8
KIF4A	AURKB
HIST1H4E	HIST1H4H
KIF20A	CCNB1
CDCA5	CCNB1
CCNB2	MYBL2
UBE2C	DLGAP5
KIF4A	TPX2
TTK	AURKB
KIF20A	DLGAP5
MAD2L1	CDCA5
TOP2A	AURKB
NEK2	CCNB2
MCM10	GINS2
KIF20A	CDC20
WNT3A	SFRP1
KIF20A	CCNB2
KIF2C	CDCA5
CDC20	MELK
SPP1	MMP7
ALDH1A2	CYP26B1
NUSAP1	CCNB2
HMMR	DLGAP5
UBE2T	UBE2C
CAMP	PRTN3
PBK	MELK
LDB2	LMO2
ANGPT4	TEK
KIF2C	TPX2
BUB1B	DLGAP5
CDCA3	CDC20
ADM2	RAMP3
KIF20A	TPX2
TOP2A	RRM2
TNNT3	TNNC1
PLK1	MYBL2
NUSAP1	CEP55
PBK	CDC20
PBK	PLK1
UBE2C	TPX2
ADM2	RAMP2
GPC3	GOLM1
MYH3	TNNT3
HOXA6	HOXA5
NUSAP1	MAD2L1
CDCA8	UBE2C
SERPING1	KLKB1
CDC20	CDC6
NUSAP1	PLK1
CCNB2	CDC6
ACTN2	TNNT3
PBK	DLGAP5
PBK	BIRC5
SCN1A	SCN2B
GP9	VWF
KRT6A	KRT17
TOP2A	TTK
AURKB	DLGAP5
GTSE1	CCNB1
TPX2	CCNB1
NUF2	NCAPG
PBK	TTK
NEK2	PLK1
KIF20A	BUB1B
CDCA8	DLGAP5
RRM2	BUB1B
NUF2	DLGAP5
FUT2	FUT6
NUSAP1	UBE2C
PLK1	DLGAP5
ACTN2	TCAP
FGF2	KDR
PBK	BUB1B
GINS2	CDC6
CA9	EPAS1
A2M	SERPING1
SLIT2	DCC
PBK	CCNB2
HOXB7	HOXA5
A2M	APOA1
MELK	CCNB2
CDC20	RRM2
NUSAP1	TPX2
