Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
TCGA-VQ-AA6J-01A-11R-A414-31	0.122186674	0	0.015362249	0.028902924	0	0.160768937	0.02591284	0.068611584	0.033803949	0	0	0.012525355	0	0.363159742	0.079920517	0.05303078	0	0	0.03581445	0	0	0
TCGA-VQ-A91D-01A-11R-A414-31	0.051348636	0	0.008172379	0.079469663	0	0.106860657	0.008181623	0.067017808	0.007933433	0	0.018787382	0.014297553	0	0.201468786	0.146233333	0.090970146	0	0.011314463	0	0.177945331	0	0.009998807
TCGA-BR-8372-01A-11R-2343-13	0.001760746	0	0	0.205358003	0	0.095136351	0.176166502	0.045423354	0.000448383	0	0	0	0.003422254	0.107769841	0.10016814	0.15513019	0.06212412	0	0.045272717	0	0.001819399	0
TCGA-CD-8533-01A-11R-2343-13	0.222226465	0	0.074093646	0.056621402	0	0.15357101	0.066436865	0.008194517	0.04139503	0	0.006790187	0	0	0.04443435	0.043483231	0.134173183	0.105263314	0	0.035456107	0	0.007860694	0
TCGA-D7-A747-01A-22R-A33Y-31	0.247949248	0.018800323	0	0.113533785	0	0.271232918	0	0.014815118	0.072346893	0	0	0.056186396	0.003899288	0.011852412	0.02326777	0.087803243	0.000785244	0.016085265	0.061442099	0	0	0
TCGA-VQ-A91A-01A-11R-A414-31	0.052137546	0	0.036903843	0.006694379	0	0.171274942	0	0	0	0	0.034712848	0	0.008094716	0.285056226	0.001897999	0.136190623	0	0.092300144	0	0.140810603	0	0.033926131
TCGA-BR-4369-01A-01R-1157-13	0.10936253	0	0.11347573	0.059926682	0	0.293117987	0.036330889	0.026421797	0.026265638	0	0.012457433	0	0.00696376	0.013747272	0.044921235	0.104549958	0.128025349	0	0.006806311	0	0.017627428	0
TCGA-D7-8573-01A-11R-2343-13	0.165823699	0	0.004822539	0.072208659	0	0.299217188	0.027634768	0.0320419	0	0	0	0	0.017265037	0.185518405	0.119800333	0	0.001681564	0	0	0.073985908	0	0
TCGA-CG-4437-01A-01R-1802-13	0.078790998	0	0.011327467	0.239965536	0	0.04508004	0.139122848	0.044792483	0.019054694	0	0.021311699	0.008169418	0.008088004	0.02501395	0.073351587	0.199063908	0.016257766	0.001306321	0.018469968	0.00235924	0	0.048474073
TCGA-BR-8589-01A-11R-2402-13	0.057505139	0	0.00369182	0.409028906	0	0.007029469	0.113797087	0.059387187	0.014546917	0	0	0.029278637	0.007497186	0.010500819	0.078373304	0.096100405	0.077893022	0.004981631	0.030388472	0	0	0
TCGA-B7-A5TK-01A-12R-A36D-31	0.022183833	0	0.008160488	0.353934688	0	0	0.25779089	0.010143417	0.016760667	0	0	0.013774982	0.005814627	0.015632038	0.123524886	0.088090249	0.013708865	0.023626314	0.042656412	0	0	0.004197644
TCGA-RD-A8N9-01A-12R-A39E-31	0.10146504	0	0.065819039	0.117775355	0	0.193073083	0.039595427	0.072723603	0.100709815	0	0	0.004287062	0.002807689	0.068930903	0.053371747	0.108774713	0.020976298	0	0.049690224	0	0	0
TCGA-IN-AB1X-01A-11R-A39E-31	0.130278869	0	0.026116809	0.298302942	0	0.161933674	0.072912887	0.027247527	0.05012481	0	0.036103455	0	0.017815909	0.052247687	0.0172014	0.032435398	0	0.055724838	0	0.014460202	0	0.007093592
TCGA-CG-4305-01A-01R-1157-13	0.089648269	0	0.002330765	0.108883503	0	0.173374239	0.147591926	0.008444609	0.004553349	0.024344737	0.026535541	0	0.009347313	0.03937453	0.112693405	0.209101435	0.007486141	0	0.03350219	0	0	0.002788048
TCGA-FP-8211-01A-11R-2343-13	0.179926876	0	0.038618079	0.160118554	0	0.297476507	0.053158847	0.02012318	0.07749334	0	0	0.029895302	0	0.046043737	0.027138725	0.044703147	0	0.016168232	0.009135473	0	0	0
