id	CancerType	AP1
TCGA-OR-A5JP-01A	ACC	0.550748465
TCGA-OR-A5JG-01A	ACC	0.943159375
TCGA-OR-A5LG-01A	ACC	0.273125971
TCGA-OR-A5JR-01A	ACC	0.510639331
TCGA-OR-A5KU-01A	ACC	0.313165128
TCGA-OR-A5LS-01A	ACC	0.560057702
TCGA-OR-A5L9-01A	ACC	0.15971371
TCGA-OR-A5JQ-01A	ACC	1.422890921
TCGA-OR-A5K4-01A	ACC	1.015682107
TCGA-OR-A5JL-01A	ACC	0.537919692
TCGA-OR-A5LC-01A	ACC	1.508329149
TCGA-OR-A5K2-01A	ACC	0.659360104
TCGA-P6-A5OG-01A	ACC	1.903570514
TCGA-OR-A5JW-01A	ACC	0.417574463
TCGA-OR-A5KO-01A	ACC	1.377398452
TCGA-OR-A5J8-01A	ACC	1.666358198
TCGA-PA-A5YG-01A	ACC	0.54245092
TCGA-OR-A5KV-01A	ACC	0.521916147
TCGA-OR-A5L4-01A	ACC	0.37974368
TCGA-OR-A5KX-01A	ACC	1.097506231
TCGA-OR-A5L8-01A	ACC	0.367533629
TCGA-OR-A5JO-01A	ACC	0.504702763
TCGA-OR-A5JA-01A	ACC	1.161045934
TCGA-OR-A5LO-01A	ACC	0.226271806
TCGA-OR-A5JM-01A	ACC	2.180507316
TCGA-OR-A5JV-01A	ACC	0.579001638
TCGA-OR-A5JB-01A	ACC	1.953258868
TCGA-OR-A5LA-01A	ACC	0.208564985
TCGA-OR-A5JE-01A	ACC	0.854366535
TCGA-OR-A5JZ-01A	ACC	1.090439403
TCGA-OR-A5KT-01A	ACC	0.415498534
TCGA-OR-A5KZ-01A	ACC	2.206545529
TCGA-OR-A5LJ-01A	ACC	1.308814067
TCGA-OR-A5LB-01A	ACC	0.226432672
TCGA-OR-A5LT-01A	ACC	1.537175073
TCGA-OR-A5LD-01A	ACC	0.386623665
TCGA-OR-A5J2-01A	ACC	0.985891419
TCGA-PK-A5HB-01A	ACC	1.220506969
TCGA-OR-A5JS-01A	ACC	1.68737551
TCGA-OR-A5K6-01A	ACC	0.423133369
TCGA-OR-A5JY-01A	ACC	1.747605924
TCGA-OR-A5JT-01A	ACC	0.66604235
TCGA-PK-A5H8-01A	ACC	0.955030134
TCGA-OR-A5JX-01A	ACC	0.271242951
TCGA-OR-A5LK-01A	ACC	0.398458469
TCGA-P6-A5OF-01A	ACC	0.571704453
TCGA-OR-A5JI-01A	ACC	0.222545915
TCGA-OR-A5K5-01A	ACC	0.627328384
TCGA-OR-A5JC-01A	ACC	0.601025789
TCGA-OR-A5KW-01A	ACC	0.735967114
TCGA-OR-A5JJ-01A	ACC	1.202054014
TCGA-OR-A5JD-01A	ACC	0.706516548
TCGA-OR-A5LM-01A	ACC	0.264992705
TCGA-PK-A5HA-01A	ACC	0.302856568
TCGA-OR-A5JF-01A	ACC	0.325502574
TCGA-OR-A5LH-01A	ACC	0.479495179
TCGA-OR-A5K1-01A	ACC	0.758773563
TCGA-OR-A5LN-01A	ACC	0.30214666
TCGA-OR-A5LE-01A	ACC	0.823953397
TCGA-OR-A5L3-01A	ACC	0.099127137
TCGA-OU-A5PI-01A	ACC	0.457090264
TCGA-OR-A5K8-01A	ACC	0.377197424
TCGA-OR-A5K0-01A	ACC	0.964020959
TCGA-OR-A5KY-01A	ACC	0.768077779
TCGA-OR-A5J9-01A	ACC	0.612431919
TCGA-OR-A5J1-01A	ACC	0.314820036
TCGA-OR-A5J5-01A	ACC	0.648005454
TCGA-OR-A5L6-01A	ACC	0.834334431
TCGA-OR-A5LP-01A	ACC	0.562729602
TCGA-OR-A5K9-01A	ACC	0.981061781
TCGA-OR-A5J7-01A	ACC	0.790716139
TCGA-PK-A5H9-01A	ACC	0.554668864
TCGA-OR-A5LR-01A	ACC	0.62542712
TCGA-OR-A5JK-01A	ACC	0.300679898
TCGA-OR-A5J6-01A	ACC	0.313880377
TCGA-OR-A5LL-01A	ACC	0.892601653
TCGA-OR-A5K3-01A	ACC	0.354511295
TCGA-OR-A5J3-01A	ACC	0.316742423
TCGA-OR-A5L5-01A	ACC	0.389016397
TCGA-FD-A3SS-01A	BLCA	1.87259887
TCGA-FD-A43S-01A	BLCA	0.65304103
TCGA-UY-A78K-01A	BLCA	1.937650394
TCGA-DK-A2HX-01A	BLCA	1.423314955
TCGA-DK-A1A3-01A	BLCA	1.516028515
TCGA-GC-A6I3-01A	BLCA	1.644843533
TCGA-XF-AAMJ-01A	BLCA	1.018217134
TCGA-GC-A6I1-01A	BLCA	1.275788894
TCGA-ZF-A9RL-01A	BLCA	1.666529684
TCGA-DK-A3IL-01A	BLCA	1.492123934
TCGA-E7-A6MF-01A	BLCA	1.084249611
TCGA-BT-A20R-01A	BLCA	1.642744591
TCGA-H4-A2HQ-01A	BLCA	2.658136285
TCGA-GV-A3QH-01A	BLCA	2.590713058
TCGA-4Z-AA82-01A	BLCA	2.230208787
TCGA-E7-A4XJ-01A	BLCA	1.146360543
TCGA-XF-A8HE-01A	BLCA	2.3673431
TCGA-XF-A9T0-01A	BLCA	2.018947238
TCGA-FD-A5BT-01A	BLCA	0.816414516
TCGA-FD-A3SN-01A	BLCA	1.582745827
TCGA-G2-AA3C-01A	BLCA	1.779867864
TCGA-HQ-A2OE-01A	BLCA	2.53512138
TCGA-BL-A3JM-01A	BLCA	3.322246113
TCGA-XF-AAN3-01A	BLCA	1.007902763
TCGA-FD-A3SR-01A	BLCA	2.206436127
TCGA-4Z-AA89-01A	BLCA	1.410009057
TCGA-G2-A2EO-01A	BLCA	1.980583273
