ID	Type	SEMA3D
TCGA-HU-A4GY-11A	Normal	1.078964861
TCGA-IP-7968-11A	Normal	0.32180929
TCGA-CG-5721-11A	Normal	0.439781398
TCGA-HU-A4GH-11A	Normal	0.932725326
TCGA-HU-A4GP-11A	Normal	1.2209
TCGA-BR-6454-11A	Normal	0.555995759
TCGA-CG-5730-11A	Normal	0.603697219
TCGA-HU-A4GN-11A	Normal	0.9964425
TCGA-CG-5722-11A	Normal	0.797790004
TCGA-FP-7829-11A	Normal	1.437351
TCGA-IN-AB1X-11A	Normal	0.09490068
TCGA-BR-7704-11A	Normal	1.024271
TCGA-BR-7703-11A	Normal	0.5557823
TCGA-BR-6453-11A	Normal	0.734845942
TCGA-BR-7717-11A	Normal	0.70880988
TCGA-BR-7716-11A	Normal	0.9301745
TCGA-IN-7806-11A	Normal	0.0384844
TCGA-HU-A4GC-11A	Normal	1.004935936
TCGA-CG-5734-11A	Normal	0.33381226
TCGA-HU-8238-11A	Normal	0.2168459
TCGA-CG-5728-11A	Normal	0.719273186
TCGA-BR-6802-11A	Normal	0.439098439
TCGA-HU-A4HB-11A	Normal	2.780674
TCGA-BR-6457-11A	Normal	0.732635645
TCGA-BR-7851-11A	Normal	0.462517677
TCGA-FP-7735-11A	Normal	1.222668
TCGA-BR-8060-11A	Normal	0.833374862
TCGA-IN-AB1V-11A	Normal	0.2717649
TCGA-BR-7715-11A	Normal	1.056427
TCGA-CG-5733-11A	Normal	0.669465129
TCGA-CG-5720-11A	Normal	0.473252267
TCGA-IN-8663-11A	Normal	0.045253549
TCGA-D7-5577-01A	Tumor	0.080311232
TCGA-D7-6818-01A	Tumor	0.5477714
TCGA-BR-4280-01A	Tumor	0.01183228
TCGA-D7-8572-01A	Tumor	0.983905862
TCGA-VQ-A91Z-01A	Tumor	1.366626
TCGA-HU-A4HD-01A	Tumor	1.250642
TCGA-D7-8573-01A	Tumor	0.064755151
TCGA-BR-7959-01A	Tumor	0.6053695
TCGA-BR-8679-01A	Tumor	0.107739017
TCGA-CG-5726-01A	Tumor	0.003168569
TCGA-BR-6453-01A	Tumor	0.3652917
TCGA-BR-A4QL-01A	Tumor	0.004207799
TCGA-VQ-AA6A-01A	Tumor	1.992675001
TCGA-HF-7132-01A	Tumor	0.582881
TCGA-BR-A4IV-01A	Tumor	1.370192
TCGA-CG-5718-01A	Tumor	0.073718312
TCGA-BR-8296-01A	Tumor	0.63432361
TCGA-R5-A7ZR-01A	Tumor	0.056138673
TCGA-BR-8680-01A	Tumor	0.046598621
TCGA-VQ-A8P2-01A	Tumor	0.006378034
TCGA-CD-8533-01A	Tumor	1.637156078
TCGA-RD-A8N2-01A	Tumor	0.155653723
TCGA-VQ-A92D-01A	Tumor	0.01026218
TCGA-HU-A4GT-01A	Tumor	0.01958106
TCGA-ZA-A8F6-01A	Tumor	0.3454467
TCGA-D7-A74A-01A	Tumor	0.09192331
TCGA-IN-A7NR-01A	Tumor	0.373109823
TCGA-HU-A4H2-01A	Tumor	0.118498064
TCGA-BR-6456-01A	Tumor	0.3750618
TCGA-CG-4442-01A	Tumor	0.147287068
TCGA-CD-8524-01A	Tumor	0.5063804
TCGA-VQ-A8PO-01A	Tumor	0.1261328
TCGA-BR-7717-01A	Tumor	0.1804089
TCGA-CG-4475-01A	Tumor	0.706481365
TCGA-BR-4369-01A	Tumor	1.324504567
TCGA-HU-A4GP-01A	Tumor	0.121229802
TCGA-VQ-A94R-01A	Tumor	0.284255
TCGA-VQ-A91E-01A	Tumor	0.1851439
TCGA-HU-A4GD-01A	Tumor	1.407407347
TCGA-FP-8211-01A	Tumor	0.217637023
TCGA-D7-A747-01A	Tumor	0.283566173
TCGA-KB-A93G-01A	Tumor	0.870613018
TCGA-RD-A8MV-01A	Tumor	0.161389883
TCGA-BR-4256-01A	Tumor	0.697505737
TCGA-FP-7735-01A	Tumor	0.120885
TCGA-VQ-A8PK-01A	Tumor	0.786960837
TCGA-BR-7707-01A	Tumor	0.08485049
TCGA-IN-A6RS-01A	Tumor	0.002688006
TCGA-D7-6519-01A	Tumor	0.649938872
TCGA-CG-4440-01A	Tumor	1.461571258
TCGA-BR-8487-01A	Tumor	0.067707959
TCGA-VQ-A94U-01A	Tumor	0.34306865
TCGA-CG-5717-01A	Tumor	0.265216773
TCGA-BR-A4CR-01A	Tumor	1.723686234
TCGA-HU-8249-01A	Tumor	0.090980029
TCGA-BR-6454-01A	Tumor	0.164451018
TCGA-BR-8295-01A	Tumor	0.382427466
TCGA-BR-7722-01A	Tumor	0.344730092
TCGA-HU-A4HB-01A	Tumor	0.986387307
TCGA-BR-7958-01A	Tumor	0.40954048
TCGA-BR-7197-01A	Tumor	1.568384765
TCGA-VQ-A94P-01A	Tumor	0.21815934
TCGA-D7-8575-01A	Tumor	0.188713031
TCGA-VQ-A8E0-01A	Tumor	0.139581713
TCGA-VQ-A8PP-01A	Tumor	0.2560013
TCGA-BR-8372-01A	Tumor	0.085407425
TCGA-VQ-A91Y-01A	Tumor	0.425979481
TCGA-IN-A6RL-01A	Tumor	0.562425878
TCGA-CG-5732-01A	Tumor	0.362716
TCGA-RD-A8MW-01A	Tumor	0.142502447
TCGA-KB-A6F7-01A	Tumor	0.966574512
TCGA-BR-8382-01A	Tumor	0.141069734
TCGA-BR-8060-01A	Tumor	0.93762131
TCGA-HU-A4GF-01A	Tumor	0.009429756
TCGA-R5-A7ZI-01A	Tumor	0.029645556
TCGA-BR-8588-01A	Tumor	0.331248905
TCGA-CD-5801-01A	Tumor	0.026577541
TCGA-CD-5800-01A	Tumor	0.035523563
TCGA-CG-4462-01A	Tumor	0.525955385
TCGA-CD-8530-01A	Tumor	0.809914
TCGA-VQ-A8PX-01A	Tumor	0.03215389
TCGA-D7-8578-01A	Tumor	1.141669634
TCGA-BR-6458-01A	Tumor	0.3707743
TCGA-VQ-A8PB-01A	Tumor	0.2179054
TCGA-D7-6822-01A	Tumor	2.831964999
TCGA-BR-8284-01A	Tumor	0.137789976
TCGA-3M-AB47-01A	Tumor	0.466753154
TCGA-BR-8381-01A	Tumor	0.194117557
TCGA-BR-4191-01A	Tumor	0.299720734
TCGA-MX-A666-01A	Tumor	0.615115227
TCGA-CD-A486-01A	Tumor	0.343801983
