ID	Type	SEMA3A	SEMA3B	SEMA3C	SEMA3D	SEMA3E	SEMA3F	SEMA3G
TCGA-HU-A4GY-11A	Normal	3.661119844	3.018973244	5.53455774	1.078964861	2.747022902	2.931838304	2.546564425
TCGA-IP-7968-11A	Normal	0.719789769	2.768937911	2.555889615	0.32180929	0.726514401	5.465899753	1.06982675
TCGA-CG-5721-11A	Normal	0.309808074	3.329437454	2.576201484	0.439781398	0.551606481	3.63934768	2.094286299
TCGA-HU-A4GH-11A	Normal	3.094985227	3.716985871	5.537263729	0.932725326	1.903352116	2.666218686	2.169933062
TCGA-HU-A4GP-11A	Normal	3.219241	2.879605	5.69509	1.2209	2.146337	2.277748	1.945595
TCGA-BR-6454-11A	Normal	1.202934811	3.777363445	3.341892129	0.555995759	1.14398083	3.987617667	1.433447418
TCGA-CG-5730-11A	Normal	0.638117081	3.826906181	1.738406049	0.603697219	0.402600981	3.000365148	1.05052569
TCGA-HU-A4GN-11A	Normal	2.452111	3.451706	4.350185	0.9964425	1.535583	2.11437	1.053774
TCGA-CG-5722-11A	Normal	1.039763271	4.302667656	3.665872348	0.797790004	0.860207944	4.249355765	1.966670829
TCGA-FP-7829-11A	Normal	3.308123	3.515444	4.672184	1.437351	3.050688	2.741295	3.133283
TCGA-IN-AB1X-11A	Normal	0.6330329	1.379456	2.191349	0.09490068	0.4003732	5.415253	1.023158
TCGA-BR-7704-11A	Normal	2.301362	4.275577	4.36339	1.024271	1.153101	3.356964	2.580009
TCGA-BR-7703-11A	Normal	0.4974569	4.084672	3.281543	0.5557823	0.9772476	4.199041	2.132408
TCGA-BR-6453-11A	Normal	0.705235985	3.623207141	2.600548748	0.734845942	0.457095487	3.392416475	1.731103629
TCGA-BR-7717-11A	Normal	1.457473117	3.040889546	2.994016011	0.70880988	0.630026752	3.549909264	1.604783004
TCGA-BR-7716-11A	Normal	1.21344	4.022319	3.899888	0.9301745	1.271382	4.295031	2.028455
TCGA-IN-7806-11A	Normal	0.4003166	0.9114159	1.029266	0.0384844	0.2845323	5.700332	1.213146
TCGA-HU-A4GC-11A	Normal	2.878481206	3.663600233	5.143618289	1.004935936	1.106747735	1.691826252	1.943762447
TCGA-CG-5734-11A	Normal	0.271120614	4.160396917	2.304790606	0.33381226	0.681187213	3.02184377	1.721724228
TCGA-HU-8238-11A	Normal	0.2060026	4.995417	2.332126	0.2168459	0.2965699	2.434923	0.9250856
TCGA-CG-5728-11A	Normal	0.647246478	3.177694481	2.181741993	0.719273186	1.02287011	3.879007446	1.631657892
TCGA-BR-6802-11A	Normal	0.47559702	2.209018008	2.717015666	0.439098439	0.722256665	2.076367346	0.801915333
TCGA-HU-A4HB-11A	Normal	3.069671	3.317084	5.967813	2.780674	1.591952	2.441388	1.916547
TCGA-BR-6457-11A	Normal	0.465186383	4.154019201	2.680528018	0.732635645	0.576233656	3.818347128	1.956002866
TCGA-BR-7851-11A	Normal	0.492046416	4.383190666	3.329537268	0.462517677	0.67456117	3.07405277	1.50868973
TCGA-FP-7735-11A	Normal	3.143004	3.640905	5.110441	1.222668	2.618905	2.233282	2.157939
TCGA-BR-8060-11A	Normal	1.695557589	3.564547507	4.13280937	0.833374862	1.257504977	2.798434351	1.89291008
TCGA-IN-AB1V-11A	Normal	1.491206	1.480384	3.033261	0.2717649	1.224155	5.528908	1.193253
TCGA-BR-7715-11A	Normal	0.9602919	3.323168	2.543165	1.056427	0.4032764	3.471566	2.49417
TCGA-CG-5733-11A	Normal	0.530264493	3.470837153	2.301449745	0.669465129	0.971639413	3.685453933	1.977175062
TCGA-CG-5720-11A	Normal	0.304557827	4.315205684	1.869467474	0.473252267	0.130251883	3.5011748	1.531668647
TCGA-IN-8663-11A	Normal	0.487552529	0.676971888	1.099642548	0.045253549	0.128370359	5.26582918	0.348704113
TCGA-D7-5577-01A	Tumor	0.47690858	4.297823133	3.304884099	0.080311232	0.065753996	3.166858468	0.611160518
TCGA-D7-6818-01A	Tumor	0.6201269	1.121709	2.353106	0.5477714	0.2466362	4.753481	1.704684
TCGA-BR-4280-01A	Tumor	0.3758072	2.404825	3.383737	0.01183228	0.005666635	3.43121	0.4773466
TCGA-D7-8572-01A	Tumor	1.556629128	2.812997577	3.468085397	0.983905862	0.313731602	2.89554401	1.785540081
TCGA-VQ-A91Z-01A	Tumor	1.464593	4.355924	2.829831	1.366626	0.3527911	5.697085	0.3341439
TCGA-HU-A4HD-01A	Tumor	2.582628	3.862809	3.314509	1.250642	1.609892	3.455356	1.44399
TCGA-D7-8573-01A	Tumor	0.44381074	4.599663779	0.934843472	0.064755151	0.132945557	2.625730761	0.383273035
TCGA-BR-7959-01A	Tumor	1.544005	2.800879	4.386488	0.6053695	1.475969	3.221628	2.273923
TCGA-BR-8679-01A	Tumor	1.286488303	2.219615004	3.482133827	0.107739017	0.381672106	2.822825341	1.753867145
TCGA-CG-5726-01A	Tumor	0.1253805	3.138453	1.15533	0.003168569	0.01882528	2.261293	0.6888249
TCGA-BR-6453-01A	Tumor	0.4805631	1.929144	2.374879	0.3652917	0.06131856	3.058088	2.847552
TCGA-BR-A4QL-01A	Tumor	0.1216131	2.009781	2.750043	0.004207799	0.01253166	1.827618	0.4355719
TCGA-VQ-AA6A-01A	Tumor	0.845389025	3.599872118	4.301761883	1.992675001	2.548485832	2.246683346	1.061344727
TCGA-HF-7132-01A	Tumor	0.9201286	3.090548	3.510468	0.582881	0.7863224	3.166648	1.926389
TCGA-BR-A4IV-01A	Tumor	2.144946	2.966931	5.59729	1.370192	1.847926	2.718832	2.529109
TCGA-CG-5718-01A	Tumor	1.857829277	2.425998843	1.087852372	0.073718312	2.342333677	4.520334811	1.756124821
TCGA-BR-8296-01A	Tumor	0.810985036	3.836270275	2.696872141	0.63432361	0.541882377	4.441629059	2.188251342
TCGA-R5-A7ZR-01A	Tumor	0.724968408	1.770838893	3.268238381	0.056138673	0.711069162	2.222319469	0.560518654
TCGA-BR-8680-01A	Tumor	1.160640439	3.482876516	4.031267716	0.046598621	0.131717012	2.429506489	0.941816399
TCGA-VQ-A8P2-01A	Tumor	0.26317772	2.80880905	3.740855395	0.006378034	0.026484424	3.294496549	1.008795474
TCGA-CD-8533-01A	Tumor	2.163831687	0.970335248	4.552992815	1.637156078	0.086176925	2.953081045	1.676532525
TCGA-RD-A8N2-01A	Tumor	3.535827105	2.515268697	6.090355355	0.155653723	2.419828048	1.974399108	1.653248719
TCGA-VQ-A92D-01A	Tumor	0.30548	3.649859	3.438911	0.01026218	0	3.001307	1.083134
TCGA-HU-A4GT-01A	Tumor	0.4896677	2.603637	3.046733	0.01958106	0.6613976	2.764571	0.626798
TCGA-ZA-A8F6-01A	Tumor	2.019519	3.275653	4.666158	0.3454467	0.4064711	2.452359	1.869219
TCGA-D7-A74A-01A	Tumor	0.3577528	3.390495	4.074864	0.09192331	2.73205	2.309341	0.3718595
TCGA-IN-A7NR-01A	Tumor	0.755740942	2.703438686	3.826227798	0.373109823	0.618896675	4.07819948	1.367237757
