id	Normal	Tumor
TCGA-HU-A4GH	4.201054	13.66897
TCGA-BR-6454	13.96549	42.21535
TCGA-HU-A4GY	3.610838	51.5983
TCGA-HU-A4GP	4.571479	10.21892
TCGA-BR-6802	17.96572	30.46763
TCGA-HU-A4GC	5.185255	9.710737
TCGA-BR-7717	15.2094	31.41862
TCGA-BR-7704	8.3801	37.73261
TCGA-BR-7851	9.788636	22.76698
TCGA-HU-A4HB	5.560824	30.18772
TCGA-FP-7735	6.277934	43.81071
TCGA-BR-8060	4.36995	28.33644
TCGA-IN-7806	3.956727	14.47225
TCGA-BR-6453	31.22352	59.838
TCGA-BR-7716	23.00013	49.18596
TCGA-BR-6457	24.74305	49.16254
TCGA-BR-7715	19.9662	22.75365
TCGA-IP-7968	6.798232	32.93757
TCGA-CG-5734	9.348575	56.05038
TCGA-CG-5720	31.69152	19.40879
TCGA-IN-AB1X	2.079596	29.152
TCGA-CG-5721	15.90576	33.28777
TCGA-FP-7829	2.944047	21.95903
TCGA-CG-5722	21.13773	54.22069
TCGA-IN-AB1V	6.100952	10.36142
TCGA-IN-8663	1.78397	3.950698
TCGA-HU-8238	4.977881	16.44953
