id	TCGA-VQ-A8E0	TCGA-VQ-A927	TCGA-BR-7704	TCGA-RD-A7BW	TCGA-CD-A489	TCGA-BR-7722	TCGA-CD-5813	TCGA-CG-4466	TCGA-BR-7715	TCGA-BR-6801	TCGA-CG-5716	TCGA-VQ-A91A	TCGA-CD-5801	TCGA-BR-4267	TCGA-BR-8369	TCGA-CG-5732	TCGA-BR-7196	TCGA-R5-A7ZE	TCGA-CG-4460	TCGA-BR-8384	TCGA-BR-6563	TCGA-D7-6525	TCGA-CD-8525	TCGA-IN-A6RS	TCGA-BR-6705	TCGA-D7-A6EX	TCGA-VQ-A8E3	TCGA-RD-A7C1	TCGA-CG-5720	TCGA-BR-8686	TCGA-BR-8590	TCGA-VQ-AA6G	TCGA-BR-8484	TCGA-BR-8487	TCGA-R5-A7ZI	TCGA-VQ-A8DT	TCGA-D7-A6EZ	TCGA-BR-8372	TCGA-D7-6528	TCGA-VQ-A91V	TCGA-VQ-A8E2	TCGA-BR-7707	TCGA-BR-8367	TCGA-HU-A4G9	TCGA-BR-8683	TCGA-CG-5734	TCGA-BR-A4CR	TCGA-KB-A93H	TCGA-D7-A6F2	TCGA-HU-A4G8	TCGA-VQ-A922	TCGA-BR-6452	TCGA-BR-8361	TCGA-VQ-A8PX	TCGA-BR-8589	TCGA-D7-8573	TCGA-CG-5718	TCGA-CD-8526	TCGA-VQ-A91K	TCGA-BR-6566	TCGA-HU-A4GJ	TCGA-HU-A4H4	TCGA-HU-A4GD	TCGA-D7-A4YX	TCGA-HU-A4GX	TCGA-BR-8060	TCGA-VQ-A924	TCGA-VQ-A8P2
YTHDC1	4.06435453045454	3.87111216090909	4.24334676181818	4.03566221590909	3.946877035	5.82877875909091	3.16569023090909	4.70597841818182	3.03646596409091	2.92429133454545	3.12125921136364	3.91555516636364	3.33470000545455	3.72766813136364	4.33199888681818	3.08742681954545	4.83860692727273	2.70829464590909	5.83003343181818	4.450729545	3.46918737818182	3.57516306409091	3.93865759363636	3.20906636636364	3.11045749818182	4.97039821363636	6.11907407272727	2.47724680363636	3.57992570954545	14.93966511	9.695689042	8.388380469	10.24386018	10.91300896	4.927073883	8.091974375	10.11640533	7.188566889	5.877338274	11.50899103	10.26789456	7.298127237	9.423931602	8.041537406	9.962660087	5.182297737	12.39472786	12.16566928	10.27191961	12.497268	8.401185643	8.587039336	7.756071186	11.41675348	12.5143307	8.947376421	6.768702969	11.5365993	9.82352852	5.841140541	14.48291015	11.03121397	11.22695799	11.59819836	11.21366449	10.78952683	9.773523194	11.05592863
YTHDF1	10.9835042954545	5.88152049545455	12.7795350363636	7.69597488181818	8.79601412727273	8.70354602727273	11.0688067681818	16.2174106772727	17.8715798772727	10.5608272409091	8.40160567727273	8.43612734090909	10.6333242409091	8.10447993181818	13.2774309181818	16.2052664727273	12.0617544818182	12.1841028909091	7.56732559545454	8.55914993636364	7.65313894090909	16.0492420954545	12.6415491954545	13.7820405863636	9.79671765454545	10.4109251681818	10.7117320545455	14.4128929818182	8.73180802727273	30.35708374	26.75257505	18.93551729	37.95689211	15.32627278	24.85566425	15.23603369	32.25693572	19.39554303	38.85390942	25.19778981	51.94761781	19.65250878	19.42333399	18.0111836	46.86413009	21.66607071	31.93992971	27.88721248	25.45785732	25.90294823	41.75736142	25.65642439	21.47271041	24.32492797	48.10082755	46.80753815	25.36150085	38.74998317	23.86823495	13.08103593	18.38679318	28.27584561	29.31585837	42.20356834	29.21061936	34.21826568	22.75147873	23.48711548
FTO	2.24142285409091	1.35546637545455	1.03768001227273	3.15449145818182	2.47124288909091	1.32669774363636	1.5899872	1.46837967409091	1.44218926772727	1.21511950227273	1.24900552727273	1.84948416045455	1.37182880181818	1.28006688227273	1.98403520272727	1.16810626272727	1.94835442136364	1.38014529727273	2.47511698454545	2.97333884818182	1.42796588545455	1.75766490681818	1.10737339909091	1.14089447545455	2.26287211727273	1.23905585227273	2.15064870636364	1.25359428454545	1.11015281681818	5.092057098	4.415482899	2.778510503	3.732083269	1.545202556	1.286609989	2.102746949	3.740934303	3.130241809	2.083924951	3.914779242	3.276867817	2.583022623	5.128708042	2.392070241	4.106285961	1.83036623	5.665092593	1.952261861	2.590740061	3.621926863	4.105531726	3.113210267	3.039370823	2.350884542	3.104662704	4.804420335	1.096253535	3.146103986	3.175273412	1.771048925	4.198951912	2.181320704	1.720651746	2.723868672	6.813822131	5.888400117	3.575259691	6.617514769
ALKBH5	11.8637082681818	9.88070838636364	7.16719443636364	10.1837715454545	8.5346616	9.30487122272727	7.92860504090909	8.3066504	7.87431227727273	9.58065916818182	10.1529637590909	12.5330973727273	9.43701447272727	4.70170369545454	10.7924914954545	7.88360484545455	11.4339265727273	7.70387459545455	8.11742745	14.8793481909091	8.43415064090909	6.83611768181818	5.55065404090909	5.16734088181818	11.27804345	10.1232778772727	11.9890914818182	6.75864493181818	7.94559953181818	30.7773543	29.11674021	12.50836486	26.3916696	17.97255953	18.86803144	19.66738079	29.20909927	20.63697277	18.38126581	22.24277303	25.41284611	21.84817186	32.10997204	23.03471779	24.99474405	17.71605138	52.78523119	16.42416807	15.85167635	29.51284169	20.26391465	35.32505807	25.17888273	22.170061	28.52429715	43.8372093	15.99609146	29.91470046	25.17764672	20.95944681	29.14287844	22.74855376	13.94847476	29.55967972	20.41271419	26.40719507	26.10203529	32.8481433
METTL3	2.12342316863636	1.506822415	4.151518135	1.35008286136364	1.72509146909091	1.89773681772727	1.008046725	2.81685510545455	1.34356032	1.59402589545455	1.61871665909091	1.90071001045455	0.866997726363636	1.25770576045455	1.80223820818182	1.86075737409091	1.58934878136364	1.52895102227273	2.23367641727273	1.69513006772727	1.07920017636364	1.89424019590909	1.89067082272727	2.15087055590909	1.82512170636364	2.24705423227273	1.55850052818182	1.78100550818182	1.58704642681818	4.298266915	4.873450192	2.05371884	3.32591811	3.204080265	3.362320916	3.274284325	4.741233127	6.729997082	6.683389462	4.442801418	5.156387747	4.840420511	4.007377095	3.530442273	3.626270176	1.686241063	7.22675626	5.558165949	3.830825884	7.815248296	8.942214847	4.533959745	6.052881231	3.182360963	4.725124783	4.744685899	3.897133439	4.781126119	3.248716473	1.919522908	5.953410914	3.782408846	5.077450365	5.741316004	6.678389723	6.871995712	4.059823314	5.745312065
HNRNPC	18.8966599409091	11.0113185590909	22.1994453772727	12.0128155636364	15.0454875454545	13.5403540954545	15.1414276636364	18.9641144863636	15.3210098727273	11.0224632227273	17.8050876045455	13.1154594909091	17.4834015909091	22.2328647409091	15.5674390090909	22.9818487045455	18.5310001409091	16.9670946181818	23.2440598272727	11.1168440636364	14.5407287045455	17.8961734545455	23.07190535	16.4461284863636	15.2676504454545	20.8355804318182	19.9077313954545	15.1049493636364	23.0786506318182	35.64066475	34.24021976	24.75718929	35.10022424	45.0584757	32.80227323	38.95334426	51.57456294	78.60826634	41.80255325	34.59213563	41.42739981	62.18878798	35.04198579	37.07784389	26.30072264	30.49306769	58.89417471	40.4345726	23.67783576	51.83291891	40.7336908	46.51634377	41.15376378	29.71666762	56.91572347	46.721717	39.96494254	51.65639307	34.27037805	41.87094267	53.18145085	43.19244973	36.63108349	50.82141199	45.68333229	41.63008736	52.68223325	49.69518918
YTHDC2	2.48003677818182	2.38224790272727	1.12414010090909	1.457125035	1.26649843727273	1.48540143136364	0.601102532272727	1.27142100772727	0.83230008	0.588965496818182	1.38427900409091	1.41062968545455	0.661438465	0.8224391	1.37771818136364	1.16546642772727	1.51021920545455	1.08107916363636	2.42515862590909	1.78076726545455	0.912684623636364	0.819970698181818	0.641989586818182	0.884589640454545	0.844504667727273	1.44398701454545	2.44240051363636	1.98289205363636	0.881440544090909	4.48392162	3.422866387	3.695493726	3.733292758	3.436506731	2.689556579	3.180847005	3.943744224	4.153929908	3.11806045	2.854070504	2.390261615	2.474026144	6.287275839	5.822968806	3.493692702	1.495447015	2.608836685	1.881466926	2.158604756	6.074352227	3.250162242	4.571994392	4.028364425	5.122406282	3.894925328	3.112500447	1.011490089	2.458326913	5.291654737	1.797107082	6.107979462	3.7756026	3.079526689	3.881179764	5.090847907	6.569819968	5.852428456	4.692916387
ZC3H13	6.43431679545454	7.31770860909091	7.28329918181818	8.10945477272727	9.51479848181818	8.4992727	3.17967974772727	4.06121085272727	2.98827341136364	7.1435621	3.22206352636364	9.09781649545454	4.07988136636364	4.17426959818182	7.73439463181818	3.35526652636364	4.36743784045454	4.45627233863636	3.52872989863636	7.54103881363636	4.90590945909091	2.213757055	10.8024702681818	5.48923973181818	6.41641262272727	9.62479323636364	9.80694835909091	4.15661832863636	3.10121285272727	15.58489071	11.12910603	11.07410304	12.74161643	9.596796925	7.781065526	17.59762374	12.17995428	4.577559253	7.083188996	15.84133882	14.20491523	9.892061378	13.07039642	5.954483007	11.46976736	7.581169836	58.33827671	43.30911419	21.467638	17.42120879	26.33569459	5.132810989	12.47872317	15.63928566	10.50404816	18.11263967	8.481933451	15.10353244	16.26126263	10.79504071	18.21337457	15.82426108	26.87758011	11.2137306	12.66189725	16.49435991	18.23534574	15.2433404
RBM15	1.79525376954545	1.59450639454545	0.960820737272727	0.989827803636364	0.958621575	1.03920964181818	1.086472215	1.78128531409091	1.56040047045455	0.901409196363636	1.4246812	1.57357938272727	0.933748506363636	1.54280802863636	2.08854919863636	1.59695218272727	1.79554552	1.22314226272727	1.82125537090909	2.16269869636364	1.15481846272727	1.45621654409091	1.62598219681818	1.97120234454545	1.68506639863636	1.10898367545455	2.321365375	1.76820818863636	1.40456769636364	6.74634806	5.008552301	5.655262844	6.535421974	3.985799147	3.003479896	2.922133655	5.135814223	6.149199147	4.644917781	5.696947314	5.627730102	3.17219378	6.41176099	6.414942358	6.855536089	2.962791462	7.967581074	3.885080427	4.185881638	9.695415128	7.145972112	5.631517248	7.38344201	7.173947724	6.531284213	6.460601291	3.164173207	5.332458311	4.474371466	2.288036597	8.437172534	5.268452496	3.626074343	7.714117645	5.722543698	7.571507588	4.953254087	4.906764305
KIAA1429	2.037200155	2.91496185045454	1.86759104818182	1.96170923136364	2.18534829954545	1.60832682363636	2.64692838727273	3.15120517181818	3.82842397727273	2.28131387954545	1.90934391954545	3.89174105909091	1.33789235636364	2.51912466681818	4.39303074045455	1.92590029363636	2.31044211545455	2.30595519136364	4.95286361818182	2.68093441	1.56033890909091	3.31160727272727	2.64107457	2.37870128090909	1.94029098636364	2.41468684227273	3.18922522681818	3.12959151863636	1.41739758136364	4.769517685	9.755343421	5.616950034	5.841211149	3.089413475	4.055851755	6.358676021	5.146621382	8.671978439	8.478957487	9.8624621	6.341825245	4.889376227	7.594572266	10.18152208	7.204268995	2.629473661	5.46817933	4.407263452	9.029968028	6.558121509	9.163760728	8.243455988	4.796890081	10.16693458	4.855124386	5.838672597	5.517767632	10.49313087	5.28073379	2.542800545	6.020980659	5.396604335	9.458944381	7.63502224	3.398545371	4.707456852	5.93486817	6.979243027
