id	cor
ACC	0.382531111
BLCA	0.249780045
BRCA	0.003711586
CESC	-0.078482253
CHOL	0.213706128
COAD	0.132431369
DLBC	0.122569938
ESCA	-0.175594935
GBM	0.190934722
HNSC	0.091781204
KICH	0.198527835
KIRC	0.056906217
KIRP	0.008643037
LAML	0.030284123
LGG	0.396666432
LIHC	0.047977811
LUAD	0.348427369
LUSC	0.103707398
MESO	0.217293647
OV	-0.038501925
PAAD	0.194682378
PCPG	0.004621028
PRAD	0.168433464
READ	0.269614375
SARC	0.277000801
SKCM	0.137329751
STAD	0.337110871
TGCT	-0.017182006
THCA	0.011496084
THYM	-0.477417523
UCEC	0.367919318
UCS	0.471935911
UVM	-0.045683542
