ONTOLOGY	ID	Term	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0032496	response to lipopolysaccharide	37/163	330/18670	1.5814603638303e-30	6.42863637897019e-27	3.03973328879383e-27	PTGS2/OPRM1/CASP9/JUN/CASP3/CASP8/PRKCA/MAOB/RELA/AKT1/FOS/MAPK1/IL10RA/NFKBIA/CYP1A2/GJA1/CYP1A1/ICAM1/IL1B/CCL2/SELE/VCAM1/CXCL8/NOS3/THBD/SERPINE1/MPO/GSTP1/CXCL11/CXCL2/PPARD/HSF1/CXCL10/CHUK/NOS2/MAPK8/SLPI	37
BP	GO:0009410	response to xenobiotic stimulus	33/163	292/18670	2.45410686916945e-27	2.49398610579345e-24	1.17926293239563e-24	PTGS1/HSP90AB1/DPEP1/NR3C1/DRD1/OPRM1/CASP9/SLC6A3/PPARG/F7/RELA/EGFR/RB1/POR/SOD1/HSPA5/CYP3A4/CYP1A2/CYP1A1/ICAM1/NR1I2/CYP1B1/GSTP1/NQO1/AHR/CHEK2/HSF1/E2F1/GSTM1/GSTM2/HTR3A/DRD5/PPP3CA	33
BP	GO:0070482	response to oxygen levels	35/163	394/18670	2.17944286618462e-25	1.42764451182279e-22	6.75051175914656e-23	PTGS2/SLC6A4/BCL2/CASP3/PLAU/PPARG/DPP4/F7/AKT1/VEGFA/CDKN1A/MMP2/TP53/RAF1/HIF1A/HMOX1/CAV1/MYC/CYP1A1/ICAM1/VCAM1/CCNB1/PLAT/COL1A1/NFE2L2/PSMD3/SLC2A4/PPARA/PPARD/HSF1/E2F1/NPEPPS/HK2/NOS2/OPRD1	35
BP	GO:0000302	response to reactive oxygen species	29/163	232/18670	2.45842843364319e-25	1.42764451182279e-22	6.75051175914656e-23	DPEP1/BCL2/JUN/CASP3/MMP3/RELA/EGFR/AKT1/FOS/MMP2/MMP9/MAPK1/SOD1/STAT1/CDK1/HMOX1/NOS3/CYP1B1/COL1A1/MPO/NCF1/GSTP1/NFE2L2/NQO1/HSF1/CHUK/CDK2/MAPK8/AKR1C3	29
BP	GO:0035690	cellular response to drug	34/163	369/18670	3.4482057729442e-25	1.55743960744646e-22	7.36423829403053e-23	PTGS2/HSP90AB1/DPEP1/NR3C1/KCNH2/DRD1/CHRM3/CHRM1/CHRM2/OPRM1/CASP9/NCOA1/MMP3/RELA/EGFR/MAPK1/TP53/SOD1/CDK1/HSPA5/HMOX1/MYC/ICAM1/IL1B/CYP1B1/NFE2L2/NQO1/AHR/CHEK2/HSF1/GSTM2/NOS2/CDK2/PPP3CA	34
BP	GO:0006979	response to oxidative stress	36/163	451/18670	1.66747198700319e-24	6.77827362716795e-22	3.20505668238718e-22	PTGS1/PTGS2/DPEP1/BCL2/JUN/CASP3/MMP3/RELA/EGFR/AKT1/FOS/MMP2/MMP9/MAPK1/TP53/SOD1/HIF1A/STAT1/CDK1/HMOX1/DUOX2/NOS3/HSPB1/CYP1B1/COL1A1/MPO/NCF1/GSTP1/NFE2L2/NQO1/PARP1/HSF1/CHUK/CDK2/MAPK8/AKR1C3	36
BP	GO:0048545	response to steroid hormone	33/163	385/18670	1.89346097619388e-23	6.99719897111647e-21	3.30857391629667e-21	ESR1/PTGS2/PGR/NR3C2/NR3C1/BCL2/CASP9/CASP3/RXRA/NCOA1/MAOB/AR/PPARG/RELA/EGFR/CCND1/FOS/CDKN1A/RB1/CAV1/ICAM1/NR1I2/COL1A1/GSTP1/PARP1/NR1I3/CLDN4/PPARA/PPARD/SPP1/CA2/ESR2/AKR1C3	33
BP	GO:0034599	cellular response to oxidative stress	30/163	302/18670	3.24691868673181e-23	1.01528649704345e-20	4.80070730524072e-21	DPEP1/BCL2/JUN/MMP3/RELA/EGFR/AKT1/FOS/MMP2/MMP9/MAPK1/TP53/SOD1/HIF1A/CDK1/HMOX1/NOS3/HSPB1/CYP1B1/MPO/NCF1/GSTP1/NFE2L2/NQO1/PARP1/HSF1/CHUK/CDK2/MAPK8/AKR1C3	30
BP	GO:0036293	response to decreased oxygen levels	32/163	370/18670	7.24580831527128e-23	2.1038722001127e-20	9.94800449901154e-21	PTGS2/SLC6A4/BCL2/CASP3/PLAU/DPP4/F7/AKT1/VEGFA/MMP2/TP53/RAF1/HIF1A/HMOX1/CAV1/MYC/CYP1A1/ICAM1/VCAM1/CCNB1/PLAT/NFE2L2/PSMD3/SLC2A4/PPARA/PPARD/HSF1/E2F1/NPEPPS/HK2/NOS2/OPRD1	32
BP	GO:1901654	response to ketone	25/163	193/18670	2.57152525208506e-22	6.96883343315051e-20	3.29516148091742e-20	NR3C1/CASP9/NCOA1/AKR1B1/MAOB/AR/PPARG/F7/RELA/EGFR/AKT1/CCND1/BCL2L1/FOS/CDKN1A/ELK1/ACACA/CAV1/ICAM1/PARP1/AHR/CLDN4/HSF1/SPP1/AKR1C3	25
