ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0030198	extracellular matrix organization	57/900	368/18670	4.56486295702509e-15	1.28872803194436e-11	1.06483797756387e-11	WNT3A/CPB2/TNR/SCUBE1/HAPLN2/ITGA2B/COL4A3/MFAP4/SPOCK2/ABI3BP/FOXF1/RAMP2/CMA1/COL13A1/ICAM5/HPSE2/VWF/COL4A6/JAM2/LAMC3/ITGA8/NPNT/VTN/CTSG/RECK/KLKB1/ITGA10/DPT/FGFR4/TPSAB1/FBLN1/FGF2/OLFML2A/ECM2/A2M/PECAM1/ADAMTSL4/GPM6B/FBLN5/KDR/TCF15/TLL1/PDGFB/ITGAL/PRDX4/ELF3/CREB3L1/MMP7/ITGA11/FERMT1/COL11A1/COL10A1/MMP12/MMP1/COL17A1/SPP1/MMP11	57
BP	GO:0043062	extracellular structure organization	57/900	369/18670	5.15594331644074e-15	1.28872803194436e-11	1.06483797756387e-11	WNT3A/CPB2/TNR/SCUBE1/HAPLN2/ITGA2B/COL4A3/MFAP4/SPOCK2/ABI3BP/FOXF1/RAMP2/CMA1/COL13A1/ICAM5/HPSE2/VWF/COL4A6/JAM2/LAMC3/ITGA8/NPNT/VTN/CTSG/RECK/KLKB1/ITGA10/DPT/FGFR4/TPSAB1/FBLN1/FGF2/OLFML2A/ECM2/A2M/PECAM1/ADAMTSL4/GPM6B/FBLN5/KDR/TCF15/TLL1/PDGFB/ITGAL/PRDX4/ELF3/CREB3L1/MMP7/ITGA11/FERMT1/COL11A1/COL10A1/MMP12/MMP1/COL17A1/SPP1/MMP11	57
BP	GO:0031589	cell-substrate adhesion	54/900	354/18670	4.67098505500372e-14	7.78341809665453e-11	6.43120889678407e-11	MYOC/FAM107A/ITGA2B/LYVE1/RADIL/LIMS2/SPOCK2/TEK/ABI3BP/ACTN2/SFRP1/FOXF1/FREM1/ACVRL1/COL13A1/AJAP1/VWF/CORO2B/EMP2/VWC2/CD36/LAMC3/ITGA8/ANGPT1/CASS4/NPNT/VTN/DLC1/CX3CL1/NTN5/ITGA10/SMAD6/MMRN2/MMRN1/FBLN1/APOA1/ECM2/ARHGAP6/PRKCE/PECAM1/BVES/LIMCH1/GPM6B/FBLN5/KDR/PTN/ITGAL/KIF14/MDK/ITGA11/FERMT1/AGR2/MMP12/COL17A1	54
BP	GO:0010810	regulation of cell-substrate adhesion	34/900	215/18670	9.26398823819038e-10	1.15776693006784e-06	9.56628680175239e-07	MYOC/FAM107A/LIMS2/SPOCK2/TEK/ABI3BP/SFRP1/FOXF1/ACVRL1/AJAP1/CORO2B/EMP2/VWC2/CD36/CASS4/NPNT/VTN/DLC1/CX3CL1/MMRN2/MMRN1/FBLN1/APOA1/ECM2/ARHGAP6/PRKCE/LIMCH1/GPM6B/KDR/PTN/MDK/FERMT1/AGR2/MMP12	34
BP	GO:0003015	heart process	40/900	292/18670	2.47060023177019e-09	2.12375571522826e-06	1.7547967333584e-06	SGCG/ADRA1A/NOS1/DES/CAV1/FXYD1/TNNT3/EPAS1/RAMP3/CAV3/SCN2B/SCN4B/TCAP/TBX2/TNNC1/NPR1/NPFF/SCN1A/ATP1A2/CACNG4/CASQ2/APLN/TNNT2/PDE5A/ADRA1B/BVES/CACNB4/ATP1B2/TRPC1/RYR2/HBEGF/CACNA2D2/GSTM2/FXYD6/GJA5/DSG2/ATP1B1/EDN2/DSP/KCNK1	40
BP	GO:0010811	positive regulation of cell-substrate adhesion	24/900	121/18670	2.86976592074194e-09	2.12375571522826e-06	1.7547967333584e-06	MYOC/LIMS2/SPOCK2/TEK/ABI3BP/SFRP1/FOXF1/EMP2/VWC2/CD36/CASS4/NPNT/VTN/CX3CL1/MMRN2/MMRN1/APOA1/ECM2/PRKCE/KDR/PTN/MDK/FERMT1/AGR2	24
BP	GO:0060047	heart contraction	39/900	282/18670	2.97385277187394e-09	2.12375571522826e-06	1.7547967333584e-06	SGCG/ADRA1A/NOS1/DES/CAV1/FXYD1/TNNT3/EPAS1/CAV3/SCN2B/SCN4B/TCAP/TBX2/TNNC1/NPR1/NPFF/SCN1A/ATP1A2/CACNG4/CASQ2/APLN/TNNT2/PDE5A/ADRA1B/BVES/CACNB4/ATP1B2/TRPC1/RYR2/HBEGF/CACNA2D2/GSTM2/FXYD6/GJA5/DSG2/ATP1B1/EDN2/DSP/KCNK1	39
BP	GO:0042391	regulation of membrane potential	51/900	434/18670	3.78831517315775e-09	2.36722344382695e-06	1.95596693940408e-06	MYOC/CHRM1/P2RX6/P2RX2/ADRA1A/GRIA1/GRIK4/SLC25A27/FHL1/HTR3C/CAV1/NTRK2/FXYD1/CAV3/SCN2B/ADRB2/SCN4B/KCNT2/ACTN2/SCN7A/SHANK3/NPFF/SCN1A/KCNB1/GABRB2/ATP1A2/CD36/GABRE/CACNG4/CASQ2/WNT7A/P2RX1/SLC17A7/BVES/CACNB4/NTRK3/KCNMB2/ATP1B2/RYR2/STX1B/KDR/PTN/GJA5/DSG2/STX1A/ATP1B1/KCNN4/DSP/KCNK1/PYCR1/HTR3A	51
BP	GO:1903522	regulation of blood circulation	39/900	297/18670	1.29789739906225e-08	7.20909899768023e-06	5.9566659578015e-06	ADRA1A/NOS1/DES/CAV1/FXYD1/AVPR2/EPAS1/CAV3/SCN2B/SCN4B/TBX2/NPR1/NPFF/ATP1A2/CACNG4/CASQ2/APLN/DOCK4/TNNT2/PDE5A/P2RX1/ADRA1B/BVES/CACNB4/KCNMB2/ATP1B2/TRPC1/RYR2/HBEGF/CACNA2D2/GSTM2/FXYD6/GJA5/DSG2/ATP1B1/EDN2/DSP/F2RL1/KCNK1	39
BP	GO:0007160	cell-matrix adhesion	32/900	225/18670	3.97807621485341e-08	1.98864029980522e-05	1.64315484916682e-05	MYOC/FAM107A/ITGA2B/LYVE1/TEK/ACTN2/SFRP1/FREM1/ACVRL1/COL13A1/AJAP1/CORO2B/EMP2/CD36/ITGA8/NPNT/VTN/DLC1/CX3CL1/ITGA10/ECM2/ARHGAP6/PECAM1/LIMCH1/GPM6B/FBLN5/KDR/ITGAL/ITGA11/FERMT1/MMP12/COL17A1	32
BP	GO:0008016	regulation of heart contraction	34/900	251/18670	5.13724853693341e-08	2.3346459487391e-05	1.92904911568676e-05	ADRA1A/NOS1/DES/CAV1/FXYD1/EPAS1/CAV3/SCN2B/SCN4B/TBX2/NPR1/NPFF/ATP1A2/CACNG4/CASQ2/APLN/TNNT2/PDE5A/ADRA1B/BVES/CACNB4/ATP1B2/TRPC1/RYR2/HBEGF/CACNA2D2/GSTM2/FXYD6/GJA5/DSG2/ATP1B1/EDN2/DSP/KCNK1	34
BP	GO:0003018	vascular process in circulatory system	27/900	175/18670	8.3496001993662e-08	3.22494963770332e-05	2.66468080528692e-05	SLC6A4/ADRA1A/VIP/NOS1/SLIT2/CAV1/AVPR2/ADRB2/TEK/RAMP2/PDE2A/EDNRB/NPR1/CDH5/ATP1A2/ANGPT1/APLN/DOCK4/AKAP12/P2RX1/ADRA1B/KCNMB2/PTPRM/GJA5/EDN2/F2RL1/C2CD4A	27
BP	GO:0034329	cell junction assembly	46/900	409/18670	8.3865463673021e-08	3.22494963770332e-05	2.66468080528692e-05	MYOC/WNT3A/GPM6A/FAM107A/LRRN3/CAV1/NTRK2/CDH19/LIMS2/SPOCK2/TEK/ACTN2/SFRP1/RAMP2/SHANK3/ACVRL1/CORO2B/GABRB2/CDH5/NFASC/MDGA1/LRRTM2/CLDN5/DLC1/TNS1/HEG1/PTPRD/WNT7A/ARHGAP6/PECAM1/GPBAR1/NTRK3/ESAM/LIMCH1/GPM6B/LRRC4B/KDR/GJA5/PKP3/MARVELD3/LSR/SIX4/ECT2/CDH3/GJB2/COL17A1	46
BP	GO:0031032	actomyosin structure organization	29/900	199/18670	1.00209488083517e-07	3.5781945066393e-05	2.95655662586256e-05	MYOC/SYNPO2L/ANKRD1/TNNT3/CAV3/TCAP/ACTN2/SFRP1/ARHGEF15/MYH10/PGM5/CORO2B/S1PR1/LDB3/DLC1/CASQ2/TMOD1/TNNT2/APOA1/MYOZ1/ARHGAP6/LIMCH1/FRMD3/EPB41L2/MYH3/ANLN/SIX4/ECT2/FRMD5	29
