ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04512	ECM-receptor interaction	18/427	88/8058	5.89144607966142e-07	0.00016790621327035	0.000153797750290109	TNR/COL6A6/ITGA2B/COL4A3/GP9/FREM1/VWF/COL4A6/CD36/LAMC3/ITGA8/NPNT/VTN/ITGA10/FRAS1/HMMR/ITGA11/SPP1	18
hsa04970	Salivary secretion	17/427	93/8058	6.16970497607499e-06	0.000879182959090686	0.000805308860035052	ADRA1A/CAMP/NOS1/ADRB2/ADRA1D/ADCY4/ATP1A2/AMY2B/PRKG2/ADRA1B/ATP1B2/ATP1B1/KCNN4/CST2/MUC5B/CST4/CST1	17
hsa04974	Protein digestion and absorption	17/427	103/8058	2.51742636324739e-05	0.00239155504508502	0.00219060258977317	CPB2/COL6A6/MME/COL4A3/COL13A1/COL4A6/ATP1A2/CTRL/COL21A1/ATP1B2/ATP1B1/KCNN4/MEP1A/COL11A1/COL10A1/COL17A1/SLC15A1	17
hsa04610	Complement and coagulation cascades	14/427	85/8058	0.000132909992743854	0.00946983698299959	0.00867412584223047	CPB2/MASP1/MASP2/VWF/THBD/C7/VTN/KLKB1/A2M/F10/CFD/SERPING1/C4BPB/PROC	14
hsa05412	Arrhythmogenic right ventricular cardiomyopathy	13/427	77/8058	0.00017777310428201	0.0101330669440746	0.00928162733935546	SGCG/DES/ITGA2B/ACTN2/ITGA8/CACNG4/ITGA10/CACNB4/RYR2/CACNA2D2/DSG2/DSP/ITGA11	13
hsa04080	Neuroactive ligand-receptor interaction	34/427	341/8058	0.000255654629349962	0.0111440301692577	0.0102076435160698	CHRM1/P2RX6/P2RX2/ADRA1A/GRIA1/VIP/GRIK4/VIPR1/AVPR2/NMUR1/ADRB2/RXFP1/S1PR5/EDNRB/PTH1R/NPFF/LEPR/ADRA1D/GNRH1/CALCRL/PTGDR/S1PR1/GABRB2/GABRE/CTSG/APLN/PTGFR/P2RX1/ADRA1B/PTGIR/EDN2/F2RL1/KISS1R/NPW	34
hsa04261	Adrenergic signaling in cardiomyocytes	19/427	149/8058	0.000312814881944076	0.0111440301692577	0.0102076435160698	ADRA1A/ADRB2/SCN4B/TNNC1/SCN7A/ADRA1D/ADCY4/ATP1A2/CACNG4/TNNT2/ADRA1B/CACNB4/ATP1B2/RYR2/CACNA2D2/RAPGEF4/CREB3L1/ATP1B1/CREB3L4	19
hsa04514	Cell adhesion molecules	19/427	149/8058	0.000312814881944076	0.0111440301692577	0.0102076435160698	NTNG1/CDH5/NFASC/JAM2/ITGA8/CLDN5/CADM3/PECAM1/CLDN11/ESAM/SPN/LRRC4B/SELP/PTPRM/ITGAL/CDH3/CLDN2/VTCN1/CLDN14	19
hsa04964	Proximal tubule bicarbonate reclamation	6/427	23/8058	0.000997244748402729	0.0315794170327531	0.0289259295443131	CA4/ATP1A2/ATP1B2/AQP1/SLC25A10/ATP1B1	6
hsa05414	Dilated cardiomyopathy	13/427	96/8058	0.00156335480987659	0.0445556120814828	0.0408117887209888	SGCG/DES/ITGA2B/TNNC1/ADCY4/ITGA8/CACNG4/ITGA10/TNNT2/CACNB4/RYR2/CACNA2D2/ITGA11	13
hsa04911	Insulin secretion	12/427	86/8058	0.00180657463993965	0.045192346772232	0.0413950212355071	ADCY4/ATP1A2/KCNMB2/ATP1B2/RYR2/RAPGEF4/CREB3L1/STX1A/ATP1B1/KCNN4/CREB3L4/SLC2A1	12
hsa04260	Cardiac muscle contraction	12/427	87/8058	0.00199785519092997	0.045192346772232	0.0413950212355071	TNNC1/ATP1A2/CACNG4/COX4I2/CASQ2/TNNT2/CACNB4/ATP1B2/RYR2/CACNA2D2/ATP1B1/COX6B2	12
hsa00350	Tyrosine metabolism	7/427	35/8058	0.00206140529136497	0.045192346772232	0.0413950212355071	ADH1B/HPD/AOC3/PNMT/MAOB/ALDH3B2/HGD	7
