gene	logFC
SLC6A4	-6.978806501
MYOC	-5.98818267
C13orf36	-5.901671032
FLJ34503	-5.392267165
GPR17	-5.360988454
SLCO1A2	-5.310966643
LOC400891	-5.151381716
FCN3	-5.102851977
ANGPTL7	-5.079864791
CHRM1	-4.980450702
WNT3A	-4.972947602
DPP6	-4.942401746
CLEC4GP1	-4.886517569
P2RX6	-4.872479868
RSPO4	-4.857720933
FABP4	-4.808569812
SH3GL2	-4.79024924
ITLN2	-4.764787117
SYNPO2L	-4.743815751
IL1RL1	-4.711659797
TMEM100	-4.688775041
RPL13AP17	-4.685965088
CPB2	-4.671606535
P2RX2	-4.664937385
IGSF10	-4.649380677
SGCG	-4.63662201
WFDC12	-4.63537195
RBP2	-4.625055399
TNR	-4.609526183
GPM6A	-4.595751075
RSPO1	-4.567694975
UPK3B	-4.543537227
CD300LG	-4.516375827
CA4	-4.501565259
LOC100507632	-4.474308551
BMPER	-4.467339597
AGAP11	-4.462942274
MS4A15	-4.35632408
ADRA1A	-4.341044544
WIF1	-4.328173232
LCNL1	-4.299151753
C6orf174	-4.293966615
CA3	-4.271153569
BTNL9	-4.243535356
GRIA1	-4.232422339
ECEL1P2	-4.229793421
SFTPC	-4.225279327
CNTFR	-4.185759762
SLC27A6	-4.131607289
KCNA4	-4.123251929
VIP	-4.122023344
C10orf67	-4.117337044
FOSB	-4.114656917
ABCC13	-4.113134083
SOSTDC1	-4.112152322
LOC572558	-4.109310409
PTPN5	-4.103560538
SCUBE1	-4.095319137
RGS9BP	-4.063101923
FAM107A	-4.050849495
GRIK4	-4.042809412
ADAM33	-4.040527582
RTKN2	-4.031499753
LGI3	-4.008282268
RS1	-4.00536137
RP11-165H20.1	-3.986341206
LRRN3	-3.973015104
SH3GL3	-3.969659817
COL6A6	-3.96086414
SLC25A27	-3.949907817
PTPRQ	-3.937632242
FIGF	-3.905326484
TPSD1	-3.89935598
FHL1	-3.896419577
CAMP	-3.895049983
NCRNA00162	-3.865063942
TMEM132C	-3.864575409
INMT	-3.855575935
ADAMTS8	-3.851068137
LOC283392	-3.849558154
NOS1	-3.845666343
C21orf15	-3.842148044
GPC3	-3.839079059
HPCAL4	-3.835966003
CALB2	-3.829753912
NCRNA00163	-3.81579979
CCDC48	-3.815703659
CD5L	-3.814962333
OVCH1	-3.80459927
GPIHBP1	-3.801575652
CORO6	-3.799659669
ANKRD1	-3.798154504
KIAA0408	-3.79375365
RNF182	-3.791318254
HTR3C	-3.783135473
TCF21	-3.773178519
SLIT2	-3.769547377
DMRT2	-3.760197576
DES	-3.716860691
C20orf46	-3.703163844
LOC284233	-3.68071271
PPBP	-3.673606875
BEX1	-3.670251035
FREM3	-3.668346985
VIPR1	-3.650408751
HAPLN2	-3.646882403
ADH1B	-3.63940103
KANK3	-3.627891422
SERPINA9	-3.616754811
CAV1	-3.610383525
CYP4B1	-3.608696654
STARD9	-3.605335942
MME	-3.601095348
DNASE1L3	-3.599741109
ANXA8L2	-3.592030502
SVEP1	-3.588572003
CLEC3B	-3.57626004
CCBE1	-3.575535761
NTRK2	-3.575403084
PRX	-3.570795042
TMCO2	-3.568796492
SDPR	-3.557801598
ITGA2B	-3.556259992
COL4A3	-3.553761753
NDRG4	-3.552232055
ENHO	-3.544333111
FXYD1	-3.540965563
PKHD1L1	-3.532695849
CNTN6	-3.526145299
KHDRBS2	-3.522021034
HDC	-3.514080314
ASPA	-3.510520109
ABCA8	-3.508517925
LOC100506795	-3.492612719
PLAC2	-3.483645281
LYVE1	-3.482315278
CLIC5	-3.47608971
MFAP4	-3.469366124
ANGPTL1	-3.458759166
HPD	-3.458695475
MAMDC2	-3.455409799
HSPB6	-3.453922408
CCL23	-3.447346365
LOC646324	-3.445856603
LCN6	-3.440198516
LOC100190938	-3.439239092
VWA3A	-3.428158896
SLC5A9	-3.424133523
CDO1	-3.422841694
CDH19	-3.41889936
NTNG1	-3.415785593
LOC284454	-3.41426681
LOC100128593	-3.402834983
ACR	-3.382557935
SEMA3G	-3.381665006
AVPR2	-3.381583574
RADIL	-3.376577413
ALDH1A2	-3.372657201
EMR1	-3.372286696
FIBIN	-3.366275915
FAT3	-3.353859758
NMUR1	-3.352400008
MAP1LC3C	-3.348158188
FAM150B	-3.344694179
HSPA12B	-3.343728636
PLEKHH2	-3.328598853
RAB40A	-3.323661465
GATA1	-3.321893745
ANGPTL5	-3.321189689
TNNT3	-3.318507908
SEMA6A	-3.311776434
EPAS1	-3.309722195
COLEC10	-3.304527939
MBL1P	-3.298920873
NAALAD2	-3.291481937
CYP3A7	-3.290731251
RAMP3	-3.290084085
PRRT2	-3.286824005
CAV3	-3.27309949
GPX3	-3.272417102
SCN2B	-3.266829258
AOC3	-3.266594152
ROBO4	-3.263606116
ANGPT4	-3.259175256
RUNX1T1	-3.258297333
TAL1	-3.257680007
LIMS2	-3.252784418
ARC	-3.248208306
TCEAL2	-3.247771405
CPO	-3.243822191
ADRB2	-3.2431461
SCN4B	-3.237679145
CRB2	-3.226053031
OVCH2	-3.220071556
CCDC85A	-3.214071907
ANXA8L1	-3.211989575
PKNOX2	-3.211865498
DEFA3	-3.203313665
FGF10	-3.200606897
USHBP1	-3.199473251
HSD17B3	-3.188231944
FBN3	-3.186528995
LOC100131825	-3.18504176
KIR3DL1	-3.18311734
SPOCK2	-3.181285873
DPY19L2	-3.180968675
RSPO2	-3.178293288
TEK	-3.177173431
C20orf106	-3.173700709
ABI3BP	-3.170786194
IL18R1	-3.164647192
LTBP4	-3.15823644
CCL16	-3.156765117
FMO2	-3.15299275
MCOLN3	-3.150329156
TMC2	-3.146363508
SLC5A4	-3.142814759
TCAP	-3.141696184
SLIT3	-3.136677184
CMTM5	-3.136146364
DUOX1	-3.132330112
ADARB1	-3.132320109
NCKAP5	-3.12967241
MASP1	-3.129229634
SIGLEC16	-3.128031223
TMEM90A	-3.127842824
ODF3L1	-3.123912306
KCNT2	-3.122673213
SLC6A13	-3.116422379
BAI3	-3.113278994
SEC14L3	-3.111393804
ST8SIA6	-3.109418837
HIF3A	-3.105854876
CCL14	-3.099435874
GIMAP8	-3.097803385
TMEM178	-3.091545332
TUBB1	-3.078573957
GSTM5	-3.075603371
GDF10	-3.069567379
ACTN2	-3.067392035
HOXA4	-3.063174762
GALNT13	-3.062895059
SFRP1	-3.060931904
GYPE	-3.059608298
FOXF1	-3.058082168
ZBED2	-3.054187586
LOC100302650	-3.051713398
RXFP1	-3.048249207
C10orf116	-3.041022467
GP9	-3.037024265
C19orf59	-3.035009417
PEAR1	-3.031625207
ARHGEF15	-3.029347447
SIGLECP3	-3.026663547
TGM1	-3.013158956
LOC100131434	-3.009906283
AKAP2	-3.008174725
S1PR5	-3.00772481
MASP2	-3.006963268
CHRDL1	-3.006874588
FAM46B	-3.003101745
BCHE	-3.003084639
TBX2	-2.994891751
CYP4Z1	-2.99434628
C22orf31	-2.993695156
RAMP2	-2.987663179
C8orf84	-2.982407566
PRPH	-2.980430881
LOC158376	-2.976050443
SEMA5A	-2.96856178
MGC27382	-2.967354996
PADI4	-2.966727048
HHIP	-2.964594966
TNNC1	-2.957328083
NECAB1	-2.95178236
FREM1	-2.947889711
ANO2	-2.946977968
PDE2A	-2.943808491
CYP1A2	-2.942816246
PLAC9	-2.939302652
C14orf139	-2.939073749
MYH10	-2.93462435
EMR4P	-2.933004236
SCN7A	-2.928525627
DCC	-2.925191181
C20orf160	-2.919767389
SYN2	-2.9134471
KRT4	-2.913392684
SHANK3	-2.911777766
PGR	-2.909260536
LOC221442	-2.908958589
GKN2	-2.906328396
RANBP3L	-2.904547569
EDNRB	-2.903588716
PTPRB	-2.90016737
PTH1R	-2.892860486
SLC14A1	-2.889303583
LOC644242	-2.88860801
SNTG2	-2.885528298
FAM189A2	-2.885137498
EYA4	-2.878499466
NPR1	-2.874297438
CMA1	-2.873701231
ACVRL1	-2.868898416
NPFF	-2.86789184
C9orf139	-2.866700403
LPHN3	-2.863537229
C15orf59	-2.860249511
GPD1	-2.859703849
LOC100272228	-2.852517004
LEPR	-2.848867131
C13orf15	-2.842403788
ANKRD29	-2.840066298
RGS11	-2.839462739
IQSEC3	-2.831976304
CLEC12B	-2.830757955
ADRA1D	-2.830114453
THSD1	-2.825438173
HSPB8	-2.824621488
SYNM	-2.824019077
LGI4	-2.820299967
HOXA5	-2.819360678
COL13A1	-2.817674666
GATA2	-2.815269043
CNKSR2	-2.814628302
ICAM5	-2.807515591
KLHL33	-2.801394509
SCN1A	-2.798297607
DENND2A	-2.794250671
LOC284009	-2.792219138
GGT3P	-2.790725406
SERPINI2	-2.790715732
LCAT	-2.790396995
DAPK2	-2.787683351
GNRH1	-2.78767252
PGM5	-2.787195713
C21orf71	-2.786678698
ANKRD33B	-2.786623323
ZNF385B	-2.780101814
HLF	-2.780021029
TTLL7	-2.778862526
LDB2	-2.778125536
ADARB2	-2.776992369
HPSE2	-2.773290414
CALCRL	-2.772226332
ADCY4	-2.767097612
AJAP1	-2.760681604
NXPH3	-2.760537455
C1QTNF7	-2.758878981
LRRC3B	-2.757883585
TIMP3	-2.757100311
LOC728264	-2.75643121
PTGDR	-2.751549553
MS4A2	-2.751196413
VWF	-2.749908833
MGAT5B	-2.749516697
SYT15	-2.746754213
CORO2B	-2.746431235
KCNB1	-2.744829706
TMEM88	-2.744277062
COL4A6	-2.742293306
PI16	-2.741495179
S1PR1	-2.739976092
LOC100132163	-2.736942239
ABCA9	-2.734107283
C20orf202	-2.728281419
TRPC3	-2.727263135
TBX21	-2.725076259
NEAT1	-2.724216534
GABRB2	-2.721074718
SFTPA1	-2.720977092
NRN1	-2.720478302
TBX4	-2.717759903
CDH5	-2.716902536
QRICH2	-2.709954695
NOVA2	-2.708675214
OGN	-2.705854885
EMP2	-2.705550156
GOLGA8B	-2.705233476
LRRTM4	-2.699635967
ATP1A2	-2.699553629
YPEL4	-2.698766129
STX11	-2.697641956
SULT1C4	-2.697297276
GRASP	-2.696490962
LOC284080	-2.695393743
NFASC	-2.694414486
PTGDS	-2.694362401
ROBO3	-2.692842854
ZBTB16	-2.692437994
SH2D3C	-2.685429694
THBD	-2.683200896
C14orf132	-2.681062899
MEG3	-2.679898753
SUSD2	-2.670847315
JAM2	-2.667478034
VWC2	-2.665028808
SYNE1	-2.664129856
CD36	-2.663494038
PDZD4	-2.661085902
SFTA1P	-2.659619944
C1QTNF2	-2.658634879
LAMC3	-2.655543077
WISP2	-2.654786736
ITGA8	-2.65361649
ANGPT1	-2.649249466
MYH7B	-2.648383719
EFR3B	-2.64753034
C7	-2.642375487
SLC19A3	-2.641430934
C2orf40	-2.639215735
CLEC4F	-2.63774685
LOC731424	-2.635995852
WDR17	-2.635230755
PDK4	-2.63359621
SHISA3	-2.628216776
CASS4	-2.626745546
LDB3	-2.624403165
CAV2	-2.624038773
RASGRP2	-2.621366022
GABRE	-2.621077532
IL33	-2.619966952
MYRIP	-2.618065183
PLA2G4B	-2.616939734
CFP	-2.614867841
TTPA	-2.612991047
KCTD16	-2.611784102
CRYAB	-2.611429925
CLDND2	-2.607412379
PHOSPHO1	-2.605155987
MDGA1	-2.601478488
NPNT	-2.595800648
KBTBD10	-2.595218886
LOC338799	-2.594879136
GCOM1	-2.593318877
TIE1	-2.592281997
HRCT1	-2.588829379
LRRTM2	-2.587086125
ODZ2	-2.585162717
FHL5	-2.571869733
TMIE	-2.565080065
VGLL3	-2.56243099
HERC2P3	-2.559313789
IGFBP6	-2.558812049
HOXA2	-2.557565351
CLDN5	-2.557396831
ART4	-2.557189635
HIGD1B	-2.556185949
CACNG4	-2.556106187
CD160	-2.553489832
COX4I2	-2.552518729
VTN	-2.550803934
CYP2B7P1	-2.550205576
WASF3	-2.549713005
ZNF423	-2.549477117
DLC1	-2.549467986
RGS9	-2.548956686
STXBP6	-2.54549391
HOXA6	-2.545026405
CTSG	-2.543261804
LOC283299	-2.541443033
C9orf117	-2.540366118
TNS1	-2.539317381
SLCO2A1	-2.538837488
KLRF1	-2.53799666
CYP26B1	-2.53792355
MUSTN1	-2.535546859
ACACB	-2.532112503
GGT8P	-2.529743072
C12orf39	-2.527502412
HMGCLL1	-2.526904526
IL7R	-2.52683537
CADM3	-2.524222903
GIMAP1	-2.519168203
CASQ2	-2.515232214
EMCN	-2.510036312
HEG1	-2.507363393
KIAA1462	-2.506999111
CX3CL1	-2.501410047
ACOXL	-2.499505093
TMSB15A	-2.496974579
C2orf71	-2.496211498
LIN7A	-2.494660222
PEBP4	-2.494280214
NTN5	-2.487603255
NES	-2.485334584
REM1	-2.47916348
WNT2B	-2.478541035
ADAMTSL3	-2.477497575
LOC643650	-2.477362042
DUOXA1	-2.472843647
ATG16L2	-2.471004028
RECK	-2.468644892
APLN	-2.464784137
GLDN	-2.464054455
PNMT	-2.456518444
LOC100499405	-2.455678304
KLB	-2.454483698
DARC	-2.448587408
SIRPB1	-2.448383892
FLT4	-2.447971921
HLX	-2.44642968
CLEC1A	-2.444191778
TSPAN7	-2.443672211
DKFZp566F0947	-2.441886814
FAM13C	-2.441511729
LOC257358	-2.440727468
SLC26A10	-2.440439942
CD101	-2.439847123
C1orf168	-2.439787507
PRICKLE2	-2.437546808
MS4A14	-2.4369838
DOCK4	-2.435056451
KLKB1	-2.434146995
C19orf76	-2.43345589
SNX22	-2.43258312
CTRL	-2.431777103
SRL	-2.431036911
SASH1	-2.429426046
RASIP1	-2.429138035
PTGFR	-2.428457383
TBX3	-2.428349506
ARMCX4	-2.42803942
ITGA10	-2.425353856
SIGLEC11	-2.42367489
AMY2B	-2.423134886
SMAD6	-2.421822754
L1TD1	-2.419141388
MAOB	-2.418240093
AKAP12	-2.417569022
DPT	-2.414435981
SOX7	-2.414109411
LOC100507424	-2.413893141
FGFR4	-2.411098153
ARHGAP20	-2.409594019
MMRN2	-2.408976139
IL12A	-2.408520975
PCDHGA12	-2.407990978
LOC100507098	-2.406598191
PRKG2	-2.40594423
GALNTL1	-2.404851218
SFTPA2	-2.402763351
KIF17	-2.402328071
C7orf53	-2.400597956
C8orf85	-2.400257481
RNF165	-2.400122057
SLC46A2	-2.398555943
TPSAB1	-2.396937348
SPARCL1	-2.396155091
KIF26A	-2.392592099
LPHN2	-2.390883034
RNF112	-2.388749097
MMRN1	-2.386499283
GRRP1	-2.384184199
C6orf155	-2.38226445
PTRF	-2.382250641
LOC440300	-2.380681368
GGTLC1	-2.380282988
CD93	-2.376273204
