id	Risk	CARS1	CISD1	SLC7A11	ACACA	KEAP1	SLC1A5	G6PD
TCGA-EP-A26S	low	2.338332273	3.184682891	0.156318946	2.634330725	4.494751603	1.276335265	1.177468813
TCGA-DD-AAVX	low	1.631597905	3.252184012	0.086258445	1.734377532	4.305707194	1.225041661	2.737698658
TCGA-ED-A7PZ	high	2.08121042	4.740718748	0.18429642	2.326085429	4.116802224	1.735431194	4.47580216
TCGA-LG-A6GG	low	1.955061668	3.438996992	0.904439858	1.749579318	3.757742281	0.754720183	2.108844574
TCGA-ED-A97K	high	2.528668579	3.040542145	1.183892349	2.550913467	3.961651108	4.153526496	3.80846434
TCGA-DD-AAVW	low	1.883005292	3.425697362	0.230818088	1.975272861	3.552636516	1.602549997	2.462511499
TCGA-UB-A7ME	low	2.399961283	2.489537027	0.042543149	1.803016197	4.328501165	2.596037054	2.202974004
TCGA-G3-A7M9	high	3.188783862	3.885406463	0.362547204	2.790835832	4.745437961	4.279812985	5.247073793
TCGA-DD-AACJ	high	2.283997312	4.024379081	0.041758237	3.188054294	4.707396683	0.931125914	4.272379338
TCGA-DD-A4NK	low	2.626276751	2.774846927	0.029623165	1.781953038	4.091120101	1.01497509	1.431001892
TCGA-DD-A3A5	low	1.747162223	3.815782392	0.154397206	0.741348157	4.622295519	1.057279738	1.718060835
TCGA-DD-AACF	low	2.293142084	3.508062227	0.017525907	1.159618207	4.510917625	1.5470801	1.477746223
TCGA-K7-A5RF	low	2.162284812	3.02961561	0.043588433	0.944798488	4.263238022	2.075275901	1.602503915
TCGA-ZP-A9D1	low	2.426839571	2.84147946	1.247378881	1.700174682	4.770380314	1.951187903	1.870554107
TCGA-DD-AADB	high	2.276731587	3.777478632	0.237960252	2.639082097	4.066959713	4.339763082	5.000834718
TCGA-DD-AAVZ	low	1.893727984	3.218436026	0.26449992	2.095510282	4.205075755	0.807219632	1.684064659
TCGA-BC-A216	high	2.478332478	3.219597741	0.145120092	2.376780739	4.586474734	3.602766851	2.256005513
TCGA-DD-A1EF	low	2.072998246	2.836647665	0.340276721	2.239798836	4.458681878	2.09028369	2.825877192
TCGA-DD-AADL	high	2.797413971	4.016901865	0.516607741	2.609149537	4.07394702	2.816720319	2.236718228
TCGA-KR-A7K8	high	4.567313619	3.044556217	0.118648901	1.075671589	5.015815996	2.594654598	3.733122189
TCGA-ED-A7PX	high	3.459866985	3.414009258	1.0010153	3.845038354	4.810271369	4.004745866	5.117820525
TCGA-DD-AADK	low	2.632714916	3.078963634	0.203703835	2.107507437	3.951440459	3.197791651	1.765897072
TCGA-BW-A5NO	high	1.786663268	2.919718395	0.393826819	2.761461025	4.830198017	2.832758596	2.762134043
TCGA-DD-A39W	high	1.481374898	3.112658436	3.947841925	3.131129803	5.022364706	0.949179902	1.9514233
TCGA-GJ-A9DB	high	2.709838271	3.402000103	1.141712016	2.45570413	4.380454485	2.611852718	3.461834982
TCGA-DD-A1EA	high	1.70212735	2.938943089	1.530252067	2.689344566	4.457188452	1.498943705	3.997759379
TCGA-UB-A7MD	high	2.404160335	2.82736298	2.466243655	1.802717663	5.193344784	3.03953973	4.124743346
TCGA-ES-A2HS	low	1.540818848	4.125090643	0.005850969	1.543436492	4.777909386	1.016790819	1.428050712
TCGA-G3-A3CJ	low	1.61040951	3.60842605	0.00836052	1.898326008	4.396530804	1.482590691	1.06571361
TCGA-FV-A3R2	high	2.956984438	3.911676244	0.184423128	2.893456381	4.382221096	4.655603706	2.746623203
TCGA-2Y-A9GZ	low	2.203691996	2.306239196	0.035439529	1.407849246	4.155930529	1.172345415	1.80091522
TCGA-4R-AA8I	low	1.999779611	3.509502034	0.395941753	1.179619328	4.700389778	1.517882883	1.757407772
TCGA-DD-A4NG	low	2.615648409	3.512392515	0.82582787	2.544971231	4.184496127	2.007793629	1.387247827
TCGA-RC-A6M5	low	1.76063485	3.767889932	0.790124681	1.501251105	3.960921256	2.421788011	2.73902523
TCGA-2Y-A9H0	high	1.963823288	3.36409052	0.208889778	2.134900063	4.076618095	1.771062395	4.017520213
TCGA-DD-A11B	low	1.555338613	3.910573419	0.017109168	1.323356233	3.812535191	0.625415453	1.799834578
TCGA-G3-A25V	high	2.168019707	3.7389537	1.25844415	1.647145015	4.04995046	3.350489892	2.773888752
TCGA-DD-AADQ	low	2.116485863	3.037707626	0.129855325	1.390700699	3.886483815	1.114283726	1.847788903
TCGA-CC-A8HS	low	2.352933061	3.040591239	0.068757927	2.768150653	3.911020405	3.031056187	2.339691262
TCGA-DD-A1EL	high	2.686520697	3.94779331	2.698046412	2.950575166	4.918457795	3.997612168	6.628337047
TCGA-WQ-AB4B	low	2.329110964	3.504762748	0.174458321	1.341550881	4.237628724	1.920701085	1.848282612
TCGA-5R-AA1C	high	1.911547018	3.548755955	2.180123031	1.901960089	5.074206985	0.849699804	3.234972434
TCGA-ED-A8O6	high	2.205856028	3.118549271	1.233559859	3.01141656	3.932884173	3.865298263	3.042015122
TCGA-DD-AADD	high	1.719670172	3.582754691	0.375283925	3.590485852	4.017268094	0.956172733	3.436616409
TCGA-BC-A10S	low	2.005545867	3.32184759	0.033081204	1.60662131	4.175320198	2.381490485	1.904746505
TCGA-DD-AAEB	low	1.94008592	2.734765322	0.264013303	1.303362269	4.007861966	1.294678382	1.308511743
TCGA-WX-AA44	high	2.220120346	2.931371416	1.416695465	2.227232162	4.968274649	4.80013371	4.577040834
TCGA-PD-A5DF	high	3.114791941	3.812058675	0.61490307	2.460827472	4.387528667	2.1274649	2.439835338
