ID	Type
364179	Bacteroidetes
572889	Fusobacteria
555945	Firmicutes
546557	Bacteroidetes
588929	Bacteroidetes
518820	Bacteroidetes
360015	Firmicutes
359809	Proteobacteria
369429	Firmicutes
1029949	Firmicutes
364926	Bacteroidetes
357046	Bacteroidetes
365634	Firmicutes
584463	Firmicutes
646549	Proteobacteria
530928	Firmicutes
918242	Cyanobacteria
953855	Bacteroidetes
352304	Firmicutes
364903	Bacteroidetes
185659	Firmicutes
865469	Proteobacteria
1944498	Bacteroidetes
264967	Firmicutes
585419	Firmicutes
529652	Proteobacteria
368698	Firmicutes
349065	Firmicutes
372348	Firmicutes
708680	Firmicutes
362501	Firmicutes
352617	Bacteroidetes
528753	Firmicutes
1062061	Firmicutes
1040889	Firmicutes
514940	Firmicutes
851865	Firmicutes
568118	Bacteroidetes
589329	Bacteroidetes
1815717	Bacteroidetes
326626	Bacteroidetes
174831	Bacteroidetes
843553	Firmicutes
828676	Fusobacteria
338992	Firmicutes
366147	Bacteroidetes
1111294	Proteobacteria
581079	Firmicutes
3035308	Bacteroidetes
916143	Firmicutes
589277	Bacteroidetes
355291	Bacteroidetes
334459	Proteobacteria
189083	Bacteroidetes
583746	Firmicutes
360946	Firmicutes
585480	Firmicutes
533373	Bacteroidetes
183480	Bacteroidetes
176775	Firmicutes
351659	Firmicutes
589071	Bacteroidetes
367213	Firmicutes
844589	Bacteroidetes
840914	Bacteroidetes
1078587	Firmicutes
580008	Firmicutes
583656	Bacteroidetes
180082	Bacteroidetes
338381	Bacteroidetes
370287	Firmicutes
366584	Firmicutes
514523	Firmicutes
366352	Firmicutes
363731	Verrucomicrobia
365496	Bacteroidetes
535375	Bacteroidetes
363646	Firmicutes
556126	Bacteroidetes
591785	Bacteroidetes
359872	Proteobacteria
344318	Bacteroidetes
759751	Firmicutes
359650	Firmicutes
922761	Proteobacteria
585914	Bacteroidetes
584137	Firmicutes
361811	Firmicutes
422878	Firmicutes
583117	Bacteroidetes
525698	Firmicutes
