chr	start	end
chr6	71377645	103283598
chrX	66058293	96794843
chr19	2684914	6527042
chr12	59254666	82300045
chrX	99781807	107099467
chr1	120077610	154713541
chr8	33872046	35574738
chrX	22017175	51247713
chr13	52252373	61508940
chr12	102950307	133137752
chr3	161477075	178110696
chr11	108747745	122635606
chr1	78162352	78883136
chr3	126640577	148213287
chr1	88802827	112024732
chr8	84469389	98698123
chr10	84077789	90623594
chrY	33431158	43084288
chr9	24641130	43963690
chr8	117744042	124790909
