chr	start	end	value
chr7	80369575	80679277	5.812590222
chr12	89347232	89353271	-4.190115556
chr13	94436808	94479682	5.680447778
chr13	80335976	80340951	-3.788505833
chr6	132296055	132401545	3.265559167
chr17	43527844	43579620	-3.831600648
chr1	212035553	212107400	-3.189684815
chr3	186046308	186110318	-4.060878333
chr1	145992435	145996600	2.969127361
chr16	28532708	28539174	3.013357083
chr19	11089362	11133816	-3.046441111
chr17	76563710	76586956	3.900024167
chr11	69641087	69654474	-2.476483488
chr11	122655675	122814473	-2.263630556
chr15	80779343	80951776	-3.337230463
chr20	62642445	62685785	-2.587758611
chr10	13161554	13211104	-2.823668333
chr5	53480409	53487134	-3.592697963
chr6	106969831	106975627	3.309414861
chr4	140859807	141212877	2.421235833
chr6	30743199	30744554	-2.547944722
chr3	48157146	48188402	-2.548383963
chr5	142310427	142326455	-3.727743333
chr4	74445134	74455009	-2.749878194
chr9	117704332	117716871	-2.528051111
chr11	95165513	95232541	2.806038889
chr8	94879770	94896678	-2.615215
chr7	80742538	80922359	2.389700889
chr4	133149315	133208606	2.080900833
chr11	59107185	59127410	-3.690595556
chr2	10122328	10131419	-2.431306667
chr2	70447280	70554193	-2.526317778
chr17	1761959	1777574	3.114773889
chr8	119416306	119424353	2.669237407
chr2	112645857	112663827	-2.422456667
chr1	58780788	58784327	2.236212778
chr6	85449584	85495791	-2.868996806
chr8	126552442	126558393	-2.954135417
chr4	173384701	173406380	2.574873519
chr7	99966720	99976157	2.059321389
chr3	115802363	117139389	2.641548889
chr6	26043227	26123904	-2.142818509
chr1	181033425	181061938	2.530019167
chr2	216672105	216695525	2.731733333
chr8	41261958	41309497	-2.109783056
chr11	65066300	65084164	-2.189269259
chr10	60026298	60733490	2.390703889
chr3	181711924	181714436	2.152468889
chr17	47253846	47311816	-3.157788981
chr5	149551947	149634968	2.120626944
chr1	110362848	110391082	2.198962778
chr2	8678845	8684453	2.788315486
chr6	27866849	27867529	-2.181108056
chr9	70529063	71446904	2.941347639
chr8	48917690	48921740	2.668305066
chr22	19479459	19520612	-2.548236389
chr12	106301929	106347015	2.628896222
chr9	76611376	76906087	4.287007778
chr1	162395266	162412138	-2.021851944
chr15	32641676	32697098	2.2700625
chr15	40087890	40108892	2.580311944
chr12	47075707	47079951	-2.717608102
chr11	72189558	72196301	2.345061759
chr1	241847967	241895148	-2.603773333
chr2	140231423	142131701	2.709311944
chr5	148923639	149063163	-2.268626944
chr15	38488103	38565575	2.114182778
chr14	104937244	104978357	2.253417778
chr1	35720218	35769967	-2.741644815
chr14	49643555	49688422	-2.246958889
chr11	1732410	1750591	2.211110741
chr6	35214419	35253079	2.544166944
chr5	154818491	154859252	2.067853611
chr3	50205246	50221486	2.408007222
chr11	7665100	7677222	-2.453621111
chr4	158124474	158173318	2.875893889
chr6	56056590	56394094	2.192096111
chr11	59852800	59866575	3.371297222
chr11	130448974	130476641	2.390339861
chr4	152936352	152979696	2.003155648
chr15	40694774	40732339	-2.343560278
chr5	88717117	88904257	2.116783333
chr12	40692442	41072418	2.128588889
chr11	82899975	82958277	-2.613901667
chr4	174490177	174523154	2.014311111
chr8	66430185	66471601	2.491348333
chr1	155195588	155209051	2.079870833
chr5	116443616	116574934	2.054854722
chr11	18172837	18197348	-2.940497431
chr1	78619922	78646145	2.314553889
chr1	205381378	205457091	2.247204722
chr5	42799880	42887392	2.867027778
chr18	59899948	59904306	-2.215505278
chr3	25174332	25597932	2.187239444
chr17	56110958	56511659	2.079071759
chr5	39105236	39274528	2.312597851
chr4	119494395	119628991	2.7593575
chr12	4538798	4560048	-2.015708056
chr12	71439770	71586310	2.315060278
chr15	90717327	90816165	-2.332322407
chr1	11189341	11195981	3.148846111
chr7	152644779	152676165	-2.522596389
chr11	61949821	61965515	2.676411111
chr12	14881181	14885926	3.015649444
chr3	123610049	123884331	2.238326667
chr17	31303766	31314112	-2.410900278
chr19	30228290	30713538	3.057936944
chr9	4490444	4587469	-2.017790556
chr13	61409685	61415522	2.603771444
chr18	45724127	45752520	-2.266719444
chr12	121132819	121188032	2.615009653
chr5	83940554	84384793	2.391960463
chr2	197568224	197676045	2.394387222
chr8	94925972	94949411	2.285694167
chr5	24487100	24644978	2.093620741
chr1	200027602	200177424	2.087765833
chr10	90912096	90921276	-2.005184444
chr9	96235306	96302152	2.212140833
chr8	73991352	74029087	2.658029537
chr2	38066973	38109902	2.959974815
chr14	23125295	23183674	2.283875992
chr8	27771949	27812640	-2.283084722
chr4	30720415	31146805	2.029993611
chrX	72204657	72239047	-2.174144444
chr13	38687129	38887131	2.017335
chr5	80111651	80256079	2.067855833
chr1	69568398	70151945	2.790148902
chr4	23755041	23904089	2.090121944
chr11	111908565	111923722	2.328813056
